Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L21_79__27_53L,L0_12__0_23L,L_23_83___14_75L,L_7_32___1_09L,L61_58__88_44L,L_22_07___15_97L,L_13_14___2_93L,L1_07__3_8L
L10_31__16_05L,L0_0__0_12L,L_23_83___14_75L,L_13_54___7_32L,L7_86__34_72L,L_22_07___15_97L,L_13_14___2_93L,L_1_67__1_07L
L10_31__16_05L,L0_0__0_12L,L_5_67__3_41L,L_1_09__5_14L,L61_58__88_44L,L_22_07___15_97L,L_43_79___33_57L,L9_27__12_0L
L10_31__16_05L,L0_0__0_12L,L_5_67__3_41L,L_1_09__5_14L,L88_44__115_3L,L_22_07___15_97L,L_43_79___33_57L,L9_27__12_0L
L16_05__21_79L,L0_0__0_12L,L_14_75___5_67L,L_7_32___1_09L,L88_44__115_3L,L_28_18___22_07L,L_43_79___33_57L,L9_27__12_0L
L16_05__21_79L,L0_23__0_35L,L_5_67__3_41L,L_7_32___1_09L,L88_44__115_3L,L_28_18___22_07L,L_43_79___33_57L,L9_27__12_0L
L27_53__33_27L,L0_23__0_35L,L_14_75___5_67L,L_1_09__5_14L,L88_44__115_3L,L_28_18___22_07L,L_43_79___33_57L,L6_53__9_27L
L16_05__21_79L,L0_35__0_47L,L_23_83___14_75L,L_13_54___7_32L,L61_58__88_44L,L_22_07___15_97L,L_13_14___2_93L,L_1_67__1_07L
L10_31__16_05L,L0_47__0_58L,L_23_83___14_75L,L_19_77___13_54L,L7_86__34_72L,L_22_07___15_97L,L_13_14___2_93L,L_1_67__1_07L
L10_31__16_05L,L0_23__0_35L,L_5_67__3_41L,L_1_09__5_14L,L88_44__115_3L,L_22_07___15_97L,L_43_79___33_57L,L9_27__12_0L
L10_31__16_05L,L0_12__0_23L,L_5_67__3_41L,L_1_09__5_14L,L88_44__115_3L,L_22_07___15_97L,L_43_79___33_57L,L9_27__12_0L
L21_79__27_53L,L0_23__0_35L,L_5_67__3_41L,L_1_09__5_14L,L61_58__88_44L,L_28_18___22_07L,L_43_79___33_57L,L9_27__12_0L
L27_53__33_27L,L0_47__0_58L,L_14_75___5_67L,L_7_32___1_09L,L88_44__115_3L,L_28_18___22_07L,L_43_79___33_57L,L9_27__12_0L
L21_79__27_53L,L0_12__0_23L,L_14_75___5_67L,L_1_09__5_14L,L88_44__115_3L,L_28_18___22_07L,L_43_79___33_57L,L9_27__12_0L
L16_05__21_79L,L0_23__0_35L,L_23_83___14_75L,L_13_54___7_32L,L34_72__61_58L,L_22_07___15_97L,L_23_36___13_14L,L1_07__3_8L
L10_31__16_05L,L0_23__0_35L,L_23_83___14_75L,L_19_77___13_54L,L7_86__34_72L,L_22_07___15_97L,L_13_14___2_93L,L_1_67__1_07L
L10_31__16_05L,L0_0__0_12L,L_42_0___32_92L,L_26_0___19_77L,L_19_0__7_86L,L_46_5___40_39L,L_54_0___43_79L,L9_27__12_0L
L16_05__21_79L,L0_47__0_58L,L_42_0___32_92L,L_26_0___19_77L,L_19_0__7_86L,L_46_5___40_39L,L_54_0___43_79L,L9_27__12_0L
L21_79__27_53L,L0_12__0_23L,L_42_0___32_92L,L_26_0___19_77L,L_19_0__7_86L,L_46_5___40_39L,L_54_0___43_79L,L9_27__12_0L
L27_53__33_27L,L0_12__0_23L,L_42_0___32_92L,L_26_0___19_77L,L7_86__34_72L,L_46_5___40_39L,L_54_0___43_79L,L9_27__12_0L
L16_05__21_79L,L0_35__0_47L,L_42_0___32_92L,L_26_0___19_77L,L_19_0__7_86L,L_46_5___40_39L,L_54_0___43_79L,L9_27__12_0L
L21_79__27_53L,L0_12__0_23L,L_42_0___32_92L,L_26_0___19_77L,L7_86__34_72L,L_34_29___28_18L,L_23_36___13_14L,L1_07__3_8L
L10_31__16_05L,L0_12__0_23L,L_32_92___23_83L,L_26_0___19_77L,L7_86__34_72L,L_34_29___28_18L,L_13_14___2_93L,L_1_67__1_07L
L10_31__16_05L,L0_47__0_58L,L_42_0___32_92L,L_26_0___19_77L,L7_86__34_72L,L_46_5___40_39L,L_54_0___43_79L,L9_27__12_0L
L16_05__21_79L,L0_35__0_47L,L_42_0___32_92L,L_26_0___19_77L,L_19_0__7_86L,L_46_5___40_39L,L_54_0___43_79L,L9_27__12_0L
L33_27__39_01L,L0_12__0_23L,L_42_0___32_92L,L_26_0___19_77L,L_19_0__7_86L,L_46_5___40_39L,L_54_0___43_79L,L9_27__12_0L
L33_27__39_01L,L0_12__0_23L,L_42_0___32_92L,L_26_0___19_77L,L7_86__34_72L,L_46_5___40_39L,L_54_0___43_79L,L9_27__12_0L
L33_27__39_01L,L0_47__0_58L,L_42_0___32_92L,L_26_0___19_77L,L_19_0__7_86L,L_46_5___40_39L,L_54_0___43_79L,L9_27__12_0L
L33_27__39_01L,L0_23__0_35L,L_32_92___23_83L,L_19_77___13_54L,L7_86__34_72L,L_34_29___28_18L,L_23_36___13_14L,L1_07__3_8L
L27_53__33_27L,L0_0__0_12L,L_32_92___23_83L,L_26_0___19_77L,L7_86__34_72L,L_34_29___28_18L,L_13_14___2_93L,L_1_67__1_07L
L21_79__27_53L,L0_23__0_35L,L_32_92___23_83L,L_19_77___13_54L,L_19_0__7_86L,L_46_5___40_39L,L_54_0___43_79L,L9_27__12_0L
