Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L68_5__94_82L,L2_37__2_78L,L_75_06___69_17L,L_44_2___31_27L,L_65_99___55_83L,L_75_34___71_34L,L_70_62___63_15L,L30_76__36_64L
L68_5__94_82L,L1_96__2_37L,L_75_06___69_17L,L_44_2___31_27L,L_55_83___45_66L,L_75_34___71_34L,L_70_62___63_15L,L30_76__36_64L
L68_5__94_82L,L3_19__3_6L,L_75_06___69_17L,L_44_2___31_27L,L_55_83___45_66L,L_75_34___71_34L,L_70_62___63_15L,L30_76__36_64L
L42_18__68_5L,L1_56__1_96L,L_80_95___75_06L,L_57_13___44_2L,L_76_16___65_99L,L_75_34___71_34L,L_63_15___55_69L,L24_88__30_76L
L68_5__94_82L,L2_78__3_19L,L_86_85___80_95L,L_70_07___57_13L,L_86_33___76_16L,L_83_35___79_35L,L_63_15___55_69L,L19_0__24_88L
L42_18__68_5L,L1_56__1_96L,L_75_06___69_17L,L_44_2___31_27L,L_76_16___65_99L,L_75_34___71_34L,L_70_62___63_15L,L30_76__36_64L
L68_5__94_82L,L3_19__3_6L,L_69_17___63_28L,L_44_2___31_27L,L_65_99___55_83L,L_71_34___67_34L,L_70_62___63_15L,L30_76__36_64L
L42_18__68_5L,L3_19__3_6L,L_69_17___63_28L,L_31_27___18_33L,L_55_83___45_66L,L_71_34___67_34L,L_70_62___63_15L,L30_76__36_64L
L68_5__94_82L,L2_78__3_19L,L_75_06___69_17L,L_44_2___31_27L,L_65_99___55_83L,L_75_34___71_34L,L_70_62___63_15L,L30_76__36_64L
L121_15__147_47L,L2_37__2_78L,L_80_95___75_06L,L_57_13___44_2L,L_65_99___55_83L,L_83_35___79_35L,L_85_55___78_08L,L42_52__48_4L
L42_18__68_5L,L3_19__3_6L,L_80_95___75_06L,L_57_13___44_2L,L_65_99___55_83L,L_79_35___75_34L,L_63_15___55_69L,L24_88__30_76L
L42_18__68_5L,L3_19__3_6L,L_86_85___80_95L,L_83_0___70_07L,L_76_16___65_99L,L_79_35___75_34L,L_63_15___55_69L,L19_0__24_88L
L15_86__42_18L,L2_78__3_19L,L_75_06___69_17L,L_57_13___44_2L,L_65_99___55_83L,L_79_35___75_34L,L_78_08___70_62L,L36_64__42_52L
L42_18__68_5L,L2_78__3_19L,L_69_17___63_28L,L_44_2___31_27L,L_65_99___55_83L,L_71_34___67_34L,L_63_15___55_69L,L30_76__36_64L
L42_18__68_5L,L2_78__3_19L,L_69_17___63_28L,L_44_2___31_27L,L_65_99___55_83L,L_71_34___67_34L,L_63_15___55_69L,L30_76__36_64L
L68_5__94_82L,L2_78__3_19L,L_69_17___63_28L,L_44_2___31_27L,L_65_99___55_83L,L_75_34___71_34L,L_70_62___63_15L,L30_76__36_64L
L15_86__42_18L,L2_37__2_78L,L_69_17___63_28L,L_44_2___31_27L,L_55_83___45_66L,L_71_34___67_34L,L_63_15___55_69L,L30_76__36_64L
L42_18__68_5L,L2_78__3_19L,L_75_06___69_17L,L_44_2___31_27L,L_55_83___45_66L,L_67_34___63_33L,L_55_69___48_22L,L19_0__24_88L
L42_18__68_5L,L2_37__2_78L,L_80_95___75_06L,L_57_13___44_2L,L_65_99___55_83L,L_71_34___67_34L,L_55_69___48_22L,L19_0__24_88L
L42_18__68_5L,L1_96__2_37L,L_69_17___63_28L,L_44_2___31_27L,L_65_99___55_83L,L_75_34___71_34L,L_63_15___55_69L,L30_76__36_64L
L42_18__68_5L,L2_37__2_78L,L_69_17___63_28L,L_44_2___31_27L,L_55_83___45_66L,L_71_34___67_34L,L_63_15___55_69L,L30_76__36_64L
L42_18__68_5L,L1_96__2_37L,L_69_17___63_28L,L_44_2___31_27L,L_55_83___45_66L,L_71_34___67_34L,L_63_15___55_69L,L24_88__30_76L
L15_86__42_18L,L3_19__3_6L,L_69_17___63_28L,L_44_2___31_27L,L_45_66___35_49L,L_71_34___67_34L,L_63_15___55_69L,L30_76__36_64L
L42_18__68_5L,L3_19__3_6L,L_69_17___63_28L,L_44_2___31_27L,L_55_83___45_66L,L_71_34___67_34L,L_63_15___55_69L,L30_76__36_64L
L42_18__68_5L,L2_37__2_78L,L_75_06___69_17L,L_44_2___31_27L,L_55_83___45_66L,L_67_34___63_33L,L_55_69___48_22L,L19_0__24_88L
L42_18__68_5L,L1_96__2_37L,L_80_95___75_06L,L_57_13___44_2L,L_65_99___55_83L,L_71_34___67_34L,L_55_69___48_22L,L19_0__24_88L
L15_86__42_18L,L2_37__2_78L,L_63_28___57_38L,L_44_2___31_27L,L_45_66___35_49L,L_71_34___67_34L,L_63_15___55_69L,L24_88__30_76L
L15_86__42_18L,L1_56__1_96L,L_63_28___57_38L,L_31_27___18_33L,L_45_66___35_49L,L_67_34___63_33L,L_63_15___55_69L,L24_88__30_76L
L15_86__42_18L,L2_37__2_78L,L_63_28___57_38L,L_31_27___18_33L,L_55_83___45_66L,L_71_34___67_34L,L_63_15___55_69L,L24_88__30_76L
L42_18__68_5L,L1_56__1_96L,L_63_28___57_38L,L_31_27___18_33L,L_45_66___35_49L,L_67_34___63_33L,L_63_15___55_69L,L24_88__30_76L
