Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L18_68__23_83L,L1_11__1_36L,L_24_32___20_07L,L_7_84___3_45L,L14_22__30_16L,L_37_46___32_3L,L_41_21___26_46L,L13_0__17_7L
L18_68__23_83L,L1_11__1_36L,L_32_82___28_57L,L_12_22___7_84L,L14_22__30_16L,L_42_62___37_46L,L_41_21___26_46L,L13_0__17_7L
L34_14__39_3L,L0_86__1_11L,L_28_57___24_32L,L_12_22___7_84L,L14_22__30_16L,L_42_62___37_46L,L_41_21___26_46L,L13_0__17_7L
L28_99__34_14L,L0_6__0_86L,L_28_57___24_32L,L_12_22___7_84L,L14_22__30_16L,L_42_62___37_46L,L_41_21___26_46L,L13_0__17_7L
L34_14__39_3L,L0_86__1_11L,L_32_82___28_57L,L_12_22___7_84L,L14_22__30_16L,L_42_62___37_46L,L_41_21___26_46L,L13_0__17_7L
L34_14__39_3L,L0_86__1_11L,L_32_82___28_57L,L_16_6___12_22L,L14_22__30_16L,L_32_3___27_14L,L_11_71__3_04L,L8_31__13_0L
L28_99__34_14L,L0_35__0_6L,L_37_07___32_82L,L_20_99___16_6L,L_1_73__14_22L,L_37_46___32_3L,L_11_71__3_04L,L3_61__8_31L
L18_68__23_83L,L0_35__0_6L,L_24_32___20_07L,L_7_84___3_45L,L14_22__30_16L,L_37_46___32_3L,L_41_21___26_46L,L13_0__17_7L
L39_3__44_46L,L0_6__0_86L,L_20_07___15_82L,L_7_84___3_45L,L30_16__46_11L,L_37_46___32_3L,L_41_21___26_46L,L13_0__17_7L
L23_83__28_99L,L0_35__0_6L,L_28_57___24_32L,L_12_22___7_84L,L62_05__78_0L,L_47_78___42_62L,L_70_7___55_95L,L17_7__22_4L
L28_99__34_14L,L0_6__0_86L,L_32_82___28_57L,L_16_6___12_22L,L30_16__46_11L,L_52_93___47_78L,L_70_7___55_95L,L22_4__27_1L
L23_83__28_99L,L0_1__0_35L,L_28_57___24_32L,L_7_84___3_45L,L_1_73__14_22L,L_47_78___42_62L,L_55_95___41_21L,L17_7__22_4L
L23_83__28_99L,L0_6__0_86L,L_37_07___32_82L,L_20_99___16_6L,L14_22__30_16L,L_37_46___32_3L,L_11_71__3_04L,L8_31__13_0L
L18_68__23_83L,L0_35__0_6L,L_37_07___32_82L,L_25_37___20_99L,L_1_73__14_22L,L_37_46___32_3L,L_11_71__3_04L,L3_61__8_31L
L28_99__34_14L,L0_1__0_35L,L_24_32___20_07L,L_12_22___7_84L,L14_22__30_16L,L_37_46___32_3L,L_41_21___26_46L,L13_0__17_7L
L28_99__34_14L,L0_1__0_35L,L_24_32___20_07L,L_12_22___7_84L,L14_22__30_16L,L_37_46___32_3L,L_41_21___26_46L,L13_0__17_7L
L28_99__34_14L,L0_1__0_35L,L_24_32___20_07L,L_12_22___7_84L,L14_22__30_16L,L_37_46___32_3L,L_41_21___26_46L,L13_0__17_7L
L39_3__44_46L,L0_1__0_35L,L_24_32___20_07L,L_12_22___7_84L,L30_16__46_11L,L_37_46___32_3L,L_41_21___26_46L,L13_0__17_7L
L34_14__39_3L,L0_1__0_35L,L_28_57___24_32L,L_12_22___7_84L,L14_22__30_16L,L_37_46___32_3L,L_41_21___26_46L,L13_0__17_7L
L34_14__39_3L,L0_1__0_35L,L_28_57___24_32L,L_16_6___12_22L,L46_11__62_05L,L_32_3___27_14L,L_11_71__3_04L,L3_61__8_31L
L23_83__28_99L,L0_1__0_35L,L_37_07___32_82L,L_20_99___16_6L,L14_22__30_16L,L_37_46___32_3L,L_11_71__3_04L,L3_61__8_31L
L23_83__28_99L,L0_35__0_6L,L_24_32___20_07L,L_16_6___12_22L,L30_16__46_11L,L_37_46___32_3L,L_41_21___26_46L,L13_0__17_7L
L28_99__34_14L,L0_35__0_6L,L_24_32___20_07L,L_12_22___7_84L,L30_16__46_11L,L_37_46___32_3L,L_41_21___26_46L,L13_0__17_7L
L34_14__39_3L,L0_1__0_35L,L_28_57___24_32L,L_16_6___12_22L,L30_16__46_11L,L_42_62___37_46L,L_41_21___26_46L,L13_0__17_7L
L28_99__34_14L,L0_35__0_6L,L_24_32___20_07L,L_12_22___7_84L,L30_16__46_11L,L_37_46___32_3L,L_41_21___26_46L,L13_0__17_7L
L39_3__44_46L,L0_35__0_6L,L_28_57___24_32L,L_12_22___7_84L,L14_22__30_16L,L_37_46___32_3L,L_41_21___26_46L,L13_0__17_7L
L28_99__34_14L,L0_35__0_6L,L_32_82___28_57L,L_16_6___12_22L,L14_22__30_16L,L_32_3___27_14L,L_11_71__3_04L,L3_61__8_31L
L39_3__44_46L,L0_1__0_35L,L_37_07___32_82L,L_25_37___20_99L,L14_22__30_16L,L_37_46___32_3L,L_11_71__3_04L,L3_61__8_31L
L23_83__28_99L,L0_35__0_6L,L_24_32___20_07L,L_12_22___7_84L,L46_11__62_05L,L_37_46___32_3L,L_41_21___26_46L,L13_0__17_7L
L18_68__23_83L,L0_6__0_86L,L_20_07___15_82L,L_7_84___3_45L,L46_11__62_05L,L_32_3___27_14L,L_41_21___26_46L,L8_31__13_0L
