Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L41_54__123_81L,L0_49__1_17L,L_15_32___10_45L,L2_08__6_09L,L20_72__38_34L,L_15_1___9_19L,L_31_74___18_42L,L3_86__7_29L
L41_54__123_81L,L0_49__1_17L,L_15_32___10_45L,L2_08__6_09L,L_14_52__3_1L,L_15_1___9_19L,L_31_74___18_42L,L7_29__10_71L
L41_54__123_81L,L1_17__1_85L,L_20_19___15_32L,L_1_92__2_08L,L3_1__20_72L,L_15_1___9_19L,L_18_42___5_11L,L3_86__7_29L
L41_54__123_81L,L0_49__1_17L,L_20_19___15_32L,L_9_93___5_93L,L_14_52__3_1L,L_26_91___21_01L,L_18_42___5_11L,L3_86__7_29L
L41_54__123_81L,L1_17__1_85L,L_15_32___10_45L,L_5_93___1_92L,L20_72__38_34L,L_38_72___32_82L,L_71_68___58_36L,L17_55__20_97L
L41_54__123_81L,L1_17__1_85L,L_15_32___10_45L,L2_08__6_09L,L3_1__20_72L,L_15_1___9_19L,L_31_74___18_42L,L3_86__7_29L
L41_54__123_81L,L0_49__1_17L,L_15_32___10_45L,L_1_92__2_08L,L20_72__38_34L,L_15_1___9_19L,L_31_74___18_42L,L3_86__7_29L
L123_81__206_09L,L0_49__1_17L,L_15_32___10_45L,L2_08__6_09L,L20_72__38_34L,L_15_1___9_19L,L_31_74___18_42L,L3_86__7_29L
L123_81__206_09L,L1_17__1_85L,L_15_32___10_45L,L_1_92__2_08L,L20_72__38_34L,L_15_1___9_19L,L_18_42___5_11L,L3_86__7_29L
L123_81__206_09L,L0_49__1_17L,L_20_19___15_32L,L_5_93___1_92L,L20_72__38_34L,L_21_01___15_1L,L_18_42___5_11L,L3_86__7_29L
L41_54__123_81L,L1_17__1_85L,L_25_06___20_19L,L_9_93___5_93L,L3_1__20_72L,L_21_01___15_1L,L_18_42___5_11L,L3_86__7_29L
L41_54__123_81L,L1_17__1_85L,L_15_32___10_45L,L_1_92__2_08L,L20_72__38_34L,L_15_1___9_19L,L_31_74___18_42L,L7_29__10_71L
L41_54__123_81L,L1_17__1_85L,L_15_32___10_45L,L_1_92__2_08L,L3_1__20_72L,L_15_1___9_19L,L_31_74___18_42L,L7_29__10_71L
L123_81__206_09L,L0_49__1_17L,L_20_19___15_32L,L_1_92__2_08L,L3_1__20_72L,L_15_1___9_19L,L_18_42___5_11L,L7_29__10_71L
L123_81__206_09L,L0_49__1_17L,L_15_32___10_45L,L2_08__6_09L,L20_72__38_34L,L_15_1___9_19L,L_18_42___5_11L,L7_29__10_71L
L206_09__288_37L,L1_85__2_53L,L_20_19___15_32L,L2_08__6_09L,L3_1__20_72L,L_15_1___9_19L,L_18_42___5_11L,L7_29__10_71L
L206_09__288_37L,L1_17__1_85L,L_25_06___20_19L,L_1_92__2_08L,L3_1__20_72L,L_26_91___21_01L,L_18_42___5_11L,L7_29__10_71L
L123_81__206_09L,L1_85__2_53L,L_29_93___25_06L,L_13_94___9_93L,L_14_52__3_1L,L_26_91___21_01L,L_18_42___5_11L,L3_86__7_29L
L123_81__206_09L,L1_17__1_85L,L_25_06___20_19L,L_5_93___1_92L,L_32_14___14_52L,L_26_91___21_01L,L_31_74___18_42L,L10_71__14_13L
L123_81__206_09L,L1_17__1_85L,L_29_93___25_06L,L_9_93___5_93L,L_49_76___32_14L,L_26_91___21_01L,L_31_74___18_42L,L10_71__14_13L
L206_09__288_37L,L1_17__1_85L,L_20_19___15_32L,L2_08__6_09L,L_14_52__3_1L,L_21_01___15_1L,L_18_42___5_11L,L7_29__10_71L
L288_37__370_64L,L1_17__1_85L,L_20_19___15_32L,L_1_92__2_08L,L3_1__20_72L,L_21_01___15_1L,L_18_42___5_11L,L7_29__10_71L
L206_09__288_37L,L2_53__3_21L,L_20_19___15_32L,L2_08__6_09L,L3_1__20_72L,L_15_1___9_19L,L_18_42___5_11L,L7_29__10_71L
L288_37__370_64L,L1_85__2_53L,L_29_93___25_06L,L_1_92__2_08L,L_32_14___14_52L,L_26_91___21_01L,L_18_42___5_11L,L7_29__10_71L
L206_09__288_37L,L1_85__2_53L,L_34_79___29_93L,L_13_94___9_93L,L_49_76___32_14L,L_38_72___32_82L,L_18_42___5_11L,L7_29__10_71L
L206_09__288_37L,L2_53__3_21L,L_20_19___15_32L,L_1_92__2_08L,L_14_52__3_1L,L_21_01___15_1L,L_18_42___5_11L,L7_29__10_71L
L288_37__370_64L,L2_53__3_21L,L_20_19___15_32L,L_1_92__2_08L,L_14_52__3_1L,L_21_01___15_1L,L_18_42___5_11L,L7_29__10_71L
L370_64__452_92L,L1_85__2_53L,L_20_19___15_32L,L2_08__6_09L,L_14_52__3_1L,L_21_01___15_1L,L_18_42___5_11L,L7_29__10_71L
L370_64__452_92L,L3_21__3_89L,L_15_32___10_45L,L2_08__6_09L,L3_1__20_72L,L_15_1___9_19L,L_18_42___5_11L,L7_29__10_71L
L370_64__452_92L,L3_21__3_89L,L_25_06___20_19L,L_1_92__2_08L,L_14_52__3_1L,L_32_82___26_91L,L_18_42___5_11L,L10_71__14_13L
L370_64__452_92L,L3_21__3_89L,L_34_79___29_93L,L_9_93___5_93L,L_14_52__3_1L,L_38_72___32_82L,L_18_42___5_11L,L10_71__14_13L
