Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L22_47__35_47L,L0_19__0_41L,L_37_5___31_12L,L_14_3___9_09L,L0_47__15_91L,L_40_5___34_91L,L_46_0___37_54L,L7_23__9_5L
L35_47__48_46L,L0_19__0_41L,L_37_5___31_12L,L_19_5___14_3L,L0_47__15_91L,L_40_5___34_91L,L_46_0___37_54L,L7_23__9_5L
L35_47__48_46L,L0_19__0_41L,L_37_5___31_12L,L_19_5___14_3L,L15_91__31_35L,L_40_5___34_91L,L_46_0___37_54L,L7_23__9_5L
L35_47__48_46L,L0_19__0_41L,L_37_5___31_12L,L_19_5___14_3L,L0_47__15_91L,L_40_5___34_91L,L_46_0___37_54L,L7_23__9_5L
L35_47__48_46L,L0_41__0_62L,L_31_12___24_74L,L_19_5___14_3L,L15_91__31_35L,L_29_32___23_73L,L_20_62___12_16L,L0_43__2_7L
L22_47__35_47L,L0_19__0_41L,L_24_74___18_36L,L_19_5___14_3L,L31_35__46_79L,L_29_32___23_73L,L_12_16___3_71L,L_1_83__0_43L
L22_47__35_47L,L0_19__0_41L,L_37_5___31_12L,L_19_5___14_3L,L0_47__15_91L,L_40_5___34_91L,L_46_0___37_54L,L7_23__9_5L
L35_47__48_46L,L0_19__0_41L,L_37_5___31_12L,L_14_3___9_09L,L0_47__15_91L,L_40_5___34_91L,L_46_0___37_54L,L7_23__9_5L
L61_46__74_46L,L0_19__0_41L,L_37_5___31_12L,L_14_3___9_09L,L0_47__15_91L,L_40_5___34_91L,L_46_0___37_54L,L7_23__9_5L
L48_46__61_46L,L0_19__0_41L,L_31_12___24_74L,L_19_5___14_3L,L15_91__31_35L,L_40_5___34_91L,L_46_0___37_54L,L7_23__9_5L
L61_46__74_46L,L0_19__0_41L,L_11_98___5_59L,L_3_89__1_31L,L62_23__77_67L,L_18_14___12_55L,L_37_54___29_08L,L7_23__9_5L
L35_47__48_46L,L0_41__0_62L,L_18_36___11_98L,L_9_09___3_89L,L62_23__77_67L,L_18_14___12_55L,L_12_16___3_71L,L0_43__2_7L
L61_46__74_46L,L0_62__0_84L,L_24_74___18_36L,L_14_3___9_09L,L15_91__31_35L,L_23_73___18_14L,L_12_16___3_71L,L_1_83__0_43L
L48_46__61_46L,L0_19__0_41L,L_11_98___5_59L,L_3_89__1_31L,L46_79__62_23L,L_23_73___18_14L,L_29_08___20_62L,L7_23__9_5L
L35_47__48_46L,L0_19__0_41L,L_11_98___5_59L,L_3_89__1_31L,L46_79__62_23L,L_23_73___18_14L,L_29_08___20_62L,L7_23__9_5L
L48_46__61_46L,L0_19__0_41L,L_11_98___5_59L,L1_31__6_52L,L46_79__62_23L,L_18_14___12_55L,L_29_08___20_62L,L7_23__9_5L
L74_46__87_45L,L0_84__1_05L,L_11_98___5_59L,L1_31__6_52L,L31_35__46_79L,L_18_14___12_55L,L_29_08___20_62L,L7_23__9_5L
L74_46__87_45L,L0_41__0_62L,L_18_36___11_98L,L_3_89__1_31L,L0_47__15_91L,L_23_73___18_14L,L_29_08___20_62L,L7_23__9_5L
L74_46__87_45L,L0_41__0_62L,L_24_74___18_36L,L_9_09___3_89L,L0_47__15_91L,L_23_73___18_14L,L_12_16___3_71L,L4_97__7_23L
L48_46__61_46L,L1_05__1_26L,L_24_74___18_36L,L_14_3___9_09L,L0_47__15_91L,L_29_32___23_73L,L_12_16___3_71L,L4_97__7_23L
L48_46__61_46L,L0_62__0_84L,L_11_98___5_59L,L_3_89__1_31L,L31_35__46_79L,L_23_73___18_14L,L_29_08___20_62L,L7_23__9_5L
L35_47__48_46L,L0_41__0_62L,L_11_98___5_59L,L_3_89__1_31L,L15_91__31_35L,L_18_14___12_55L,L_29_08___20_62L,L7_23__9_5L
L74_46__87_45L,L0_19__0_41L,L_18_36___11_98L,L_3_89__1_31L,L15_91__31_35L,L_18_14___12_55L,L_29_08___20_62L,L7_23__9_5L
L61_46__74_46L,L0_19__0_41L,L_18_36___11_98L,L_3_89__1_31L,L15_91__31_35L,L_23_73___18_14L,L_29_08___20_62L,L7_23__9_5L
L74_46__87_45L,L0_41__0_62L,L_18_36___11_98L,L_3_89__1_31L,L15_91__31_35L,L_18_14___12_55L,L_29_08___20_62L,L7_23__9_5L
L74_46__87_45L,L0_62__0_84L,L_24_74___18_36L,L_3_89__1_31L,L0_47__15_91L,L_23_73___18_14L,L_12_16___3_71L,L4_97__7_23L
L61_46__74_46L,L0_84__1_05L,L_24_74___18_36L,L_9_09___3_89L,L0_47__15_91L,L_23_73___18_14L,L_12_16___3_71L,L2_7__4_97L
L35_47__48_46L,L0_19__0_41L,L_18_36___11_98L,L1_31__6_52L,L15_91__31_35L,L_23_73___18_14L,L_29_08___20_62L,L7_23__9_5L
L61_46__74_46L,L0_41__0_62L,L_11_98___5_59L,L1_31__6_52L,L15_91__31_35L,L_18_14___12_55L,L_29_08___20_62L,L7_23__9_5L
L74_46__87_45L,L0_62__0_84L,L_11_98___5_59L,L1_31__6_52L,L15_91__31_35L,L_18_14___12_55L,L_29_08___20_62L,L4_97__7_23L
