uuidObjectType;uuidObject;description;iso
ebe0b9fc-658f-4f37-9207-400edd255438;00a097a4-b164-4fc8-b194-cdf2a2bc0adc;Ecuador;ECU
ebe0b9fc-658f-4f37-9207-400edd255438;f4559fb7-0a4e-4eac-9e71-39b01c1a1afe;Egypt;EGY
ebe0b9fc-658f-4f37-9207-400edd255438;d444c2f1-db65-4969-b23f-b248a51a0cb6;ElSalvador;SLV
ebe0b9fc-658f-4f37-9207-400edd255438;c7819dfe-7dc3-4dd0-a937-18cdbadb3c8a;EquatorialGuinea;GNQ
ebe0b9fc-658f-4f37-9207-400edd255438;1d88a325-9178-41bf-9da7-0bd34b5c9caa;Eritrea;ERI
ebe0b9fc-658f-4f37-9207-400edd255438;62437a5f-2b79-490e-929b-19d4d335bc7b;Estonia;EST
ebe0b9fc-658f-4f37-9207-400edd255438;84b0fa48-a404-4fee-9f94-e9b1ad1d7b71;Eswatini;SWZ
ebe0b9fc-658f-4f37-9207-400edd255438;a6b1510c-03f9-495a-8053-c8285414a43c;Ethiopia;ETH
ebe0b9fc-658f-4f37-9207-400edd255438;5edb8f95-559f-4ab0-945f-45ccd0d5ef3d;Fiji;FJI
ebe0b9fc-658f-4f37-9207-400edd255438;4788d889-746e-4626-8ba6-92992bdb8486;Finland;FIN
ebe0b9fc-658f-4f37-9207-400edd255438;eb6a96a6-102c-405a-97a1-aa147c576510;France;FRA
ebe0b9fc-658f-4f37-9207-400edd255438;7ef54897-4fee-4dcb-a892-cfb5f1cb79c3;FrenchGuiana_France;GUF
ebe0b9fc-658f-4f37-9207-400edd255438;c8fa894c-436e-4370-bcea-bff8f33f5899;Gabon;GAB
ebe0b9fc-658f-4f37-9207-400edd255438;df22f1e2-9431-496d-af8b-a07a86026430;Gambia;GMB
ebe0b9fc-658f-4f37-9207-400edd255438;eb4ef3b1-5423-4801-9062-0721c46a4113;Georgia;GEO
ebe0b9fc-658f-4f37-9207-400edd255438;a507d861-4051-4d2d-8689-5fb30e1afa2b;Ghana;GHA
ebe0b9fc-658f-4f37-9207-400edd255438;c823a1e0-cee8-480b-ae1c-0bbb2e48b81c;Greenland_Denmark;GRL
ebe0b9fc-658f-4f37-9207-400edd255438;e4dccb2e-2371-4f4b-9bd0-8d83d9544c8c;Grenada;GRD
ebe0b9fc-658f-4f37-9207-400edd255438;9cb7f124-eee4-4144-a7e4-bdc63404db72;Guadeloupe_France;GLP
