Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L0_0__87_29L,L0_0__0_49L,L_7_11___1_62L,L3_68__8_41L,L36_41__60_91L,L_9_95___2_45L,L_34_67___27_02L,L4_03__6_24L
L87_29__174_58L,L0_0__0_49L,L_12_59___7_11L,L_1_05__3_68L,L60_91__85_4L,L_9_95___2_45L,L_34_67___27_02L,L4_03__6_24L
L87_29__174_58L,L0_0__0_49L,L_12_59___7_11L,L_1_05__3_68L,L36_41__60_91L,L_9_95___2_45L,L_34_67___27_02L,L1_82__4_03L
L87_29__174_58L,L0_0__0_49L,L_12_59___7_11L,L_5_78___1_05L,L60_91__85_4L,L_2_45__5_05L,L_34_67___27_02L,L1_82__4_03L
L0_0__87_29L,L0_0__0_49L,L_18_08___12_59L,L_5_78___1_05L,L60_91__85_4L,L_2_45__5_05L,L_11_72___4_07L,L_0_39__1_82L
L0_0__87_29L,L0_0__0_49L,L_7_11___1_62L,L8_41__13_14L,L60_91__85_4L,L_2_45__5_05L,L_4_07__3_58L,L_2_6___0_39L
L261_86__349_15L,L0_0__0_49L,L_12_59___7_11L,L_1_05__3_68L,L36_41__60_91L,L_9_95___2_45L,L_34_67___27_02L,L1_82__4_03L
L87_29__174_58L,L0_49__0_98L,L_12_59___7_11L,L_5_78___1_05L,L36_41__60_91L,L_9_95___2_45L,L_34_67___27_02L,L1_82__4_03L
L87_29__174_58L,L0_49__0_98L,L_12_59___7_11L,L_5_78___1_05L,L60_91__85_4L,L_9_95___2_45L,L_34_67___27_02L,L1_82__4_03L
L87_29__174_58L,L0_0__0_49L,L_18_08___12_59L,L_5_78___1_05L,L36_41__60_91L,L_9_95___2_45L,L_34_67___27_02L,L1_82__4_03L
L87_29__174_58L,L0_98__1_47L,L_7_11___1_62L,L_1_05__3_68L,L85_4__109_89L,L12_56__20_06L,L_27_02___19_37L,L_2_6___0_39L
L0_0__87_29L,L0_0__0_49L,L_12_59___7_11L,L_5_78___1_05L,L109_89__134_39L,L20_06__27_56L,L_11_72___4_07L,L_4_81___2_6L
L0_0__87_29L,L0_0__0_49L,L3_87__9_35L,L13_14__17_87L,L109_89__134_39L,L20_06__27_56L,L_4_07__3_58L,L_4_81___2_6L
L261_86__349_15L,L0_49__0_98L,L_7_11___1_62L,L_1_05__3_68L,L109_89__134_39L,L5_05__12_56L,L_27_02___19_37L,L_0_39__1_82L
L87_29__174_58L,L0_49__0_98L,L_7_11___1_62L,L_1_05__3_68L,L85_4__109_89L,L5_05__12_56L,L_19_37___11_72L,L_0_39__1_82L
L87_29__174_58L,L0_49__0_98L,L_12_59___7_11L,L_1_05__3_68L,L85_4__109_89L,L5_05__12_56L,L_19_37___11_72L,L_0_39__1_82L
L87_29__174_58L,L0_49__0_98L,L_12_59___7_11L,L_1_05__3_68L,L85_4__109_89L,L_2_45__5_05L,L_27_02___19_37L,L_0_39__1_82L
L174_58__261_86L,L1_96__2_45L,L_12_59___7_11L,L_5_78___1_05L,L60_91__85_4L,L5_05__12_56L,L_19_37___11_72L,L_0_39__1_82L
L0_0__87_29L,L0_0__0_49L,L_18_08___12_59L,L_5_78___1_05L,L60_91__85_4L,L12_56__20_06L,L_11_72___4_07L,L_0_39__1_82L
L0_0__87_29L,L0_0__0_49L,L_1_62__3_87L,L3_68__8_41L,L85_4__109_89L,L12_56__20_06L,L_4_07__3_58L,L_2_6___0_39L
L349_15__436_44L,L0_98__1_47L,L_7_11___1_62L,L_1_05__3_68L,L60_91__85_4L,L5_05__12_56L,L_27_02___19_37L,L1_82__4_03L
L87_29__174_58L,L0_98__1_47L,L_12_59___7_11L,L_1_05__3_68L,L60_91__85_4L,L_2_45__5_05L,L_19_37___11_72L,L1_82__4_03L
L0_0__87_29L,L0_0__0_49L,L_12_59___7_11L,L_5_78___1_05L,L36_41__60_91L,L_2_45__5_05L,L_19_37___11_72L,L1_82__4_03L
L349_15__436_44L,L0_98__1_47L,L_18_08___12_59L,L_5_78___1_05L,L36_41__60_91L,L_2_45__5_05L,L_19_37___11_72L,L1_82__4_03L
L174_58__261_86L,L1_96__2_45L,L_18_08___12_59L,L_5_78___1_05L,L11_92__36_41L,L_2_45__5_05L,L_19_37___11_72L,L1_82__4_03L
L0_0__87_29L,L0_0__0_49L,L_18_08___12_59L,L_5_78___1_05L,L11_92__36_41L,L_9_95___2_45L,L_11_72___4_07L,L1_82__4_03L
L0_0__87_29L,L0_0__0_49L,L_18_08___12_59L,L_5_78___1_05L,L11_92__36_41L,L_2_45__5_05L,L_4_07__3_58L,L1_82__4_03L
L349_15__436_44L,L0_98__1_47L,L_12_59___7_11L,L_1_05__3_68L,L36_41__60_91L,L_2_45__5_05L,L_19_37___11_72L,L1_82__4_03L
L174_58__261_86L,L1_96__2_45L,L_12_59___7_11L,L_1_05__3_68L,L36_41__60_91L,L_2_45__5_05L,L_19_37___11_72L,L1_82__4_03L
L174_58__261_86L,L0_98__1_47L,L_12_59___7_11L,L_1_05__3_68L,L36_41__60_91L,L_2_45__5_05L,L_19_37___11_72L,L1_82__4_03L
