Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L8_14__16_29L,L0_0__0_27L,L_13_48___4_31L,L_8_22__6_95L,L61_59__103_11L,L_8_13__4_83L,L_39_93___22_4L,L3_73__7_53L
L8_14__16_29L,L0_0__0_27L,L_4_31__4_86L,L6_95__22_12L,L61_59__103_11L,L_8_13__4_83L,L_39_93___22_4L,L3_73__7_53L
L8_14__16_29L,L0_0__0_27L,L_4_31__4_86L,L_8_22__6_95L,L61_59__103_11L,L_8_13__4_83L,L_39_93___22_4L,L3_73__7_53L
L0_0__8_14L,L0_0__0_27L,L_13_48___4_31L,L_8_22__6_95L,L61_59__103_11L,L17_79__30_74L,L_4_86__12_67L,L_3_87___0_07L
L0_0__8_14L,L0_0__0_27L,L_4_31__4_86L,L6_95__22_12L,L61_59__103_11L,L17_79__30_74L,L_4_86__12_67L,L_3_87___0_07L
L16_29__24_43L,L0_27__0_54L,L4_86__14_04L,L6_95__22_12L,L103_11__144_63L,L_8_13__4_83L,L_39_93___22_4L,L3_73__7_53L
L0_0__8_14L,L0_0__0_27L,L4_86__14_04L,L6_95__22_12L,L103_11__144_63L,L_8_13__4_83L,L_39_93___22_4L,L3_73__7_53L
L0_0__8_14L,L0_0__0_27L,L_4_31__4_86L,L_8_22__6_95L,L103_11__144_63L,L_8_13__4_83L,L_39_93___22_4L,L_0_07__3_73L
L16_29__24_43L,L0_54__0_82L,L_4_31__4_86L,L6_95__22_12L,L103_11__144_63L,L_8_13__4_83L,L_39_93___22_4L,L3_73__7_53L
L8_14__16_29L,L0_27__0_54L,L_4_31__4_86L,L_8_22__6_95L,L103_11__144_63L,L4_83__17_79L,L_39_93___22_4L,L3_73__7_53L
L0_0__8_14L,L0_0__0_27L,L_13_48___4_31L,L_8_22__6_95L,L144_63__186_16L,L43_7__56_66L,L_4_86__12_67L,L_3_87___0_07L
L0_0__8_14L,L0_0__0_27L,L14_04__23_21L,L22_12__37_29L,L186_16__227_68L,L30_74__43_7L,L_4_86__12_67L,L_3_87___0_07L
L16_29__24_43L,L0_27__0_54L,L14_04__23_21L,L22_12__37_29L,L227_68__269_2L,L_8_13__4_83L,L_57_46___39_93L,L3_73__7_53L
L0_0__8_14L,L0_0__0_27L,L_22_66___13_48L,L_38_56___23_39L,L227_68__269_2L,L_8_13__4_83L,L_74_99___57_46L,L11_32__15_12L
L8_14__16_29L,L1_09__1_36L,L4_86__14_04L,L6_95__22_12L,L103_11__144_63L,L4_83__17_79L,L_39_93___22_4L,L_0_07__3_73L
L0_0__8_14L,L0_0__0_27L,L4_86__14_04L,L6_95__22_12L,L103_11__144_63L,L_8_13__4_83L,L_39_93___22_4L,L3_73__7_53L
L8_14__16_29L,L0_0__0_27L,L_4_31__4_86L,L_8_22__6_95L,L103_11__144_63L,L4_83__17_79L,L_39_93___22_4L,L3_73__7_53L
L0_0__8_14L,L0_0__0_27L,L_13_48___4_31L,L_8_22__6_95L,L144_63__186_16L,L43_7__56_66L,L_4_86__12_67L,L_3_87___0_07L
L0_0__8_14L,L0_0__0_27L,L4_86__14_04L,L22_12__37_29L,L144_63__186_16L,L30_74__43_7L,L_4_86__12_67L,L_3_87___0_07L
L24_43__32_58L,L0_27__0_54L,L4_86__14_04L,L6_95__22_12L,L186_16__227_68L,L_8_13__4_83L,L_39_93___22_4L,L3_73__7_53L
L8_14__16_29L,L0_0__0_27L,L4_86__14_04L,L6_95__22_12L,L186_16__227_68L,L_8_13__4_83L,L_39_93___22_4L,L3_73__7_53L
L8_14__16_29L,L0_0__0_27L,L_4_31__4_86L,L6_95__22_12L,L144_63__186_16L,L_8_13__4_83L,L_39_93___22_4L,L3_73__7_53L
L8_14__16_29L,L0_0__0_27L,L_4_31__4_86L,L6_95__22_12L,L144_63__186_16L,L_8_13__4_83L,L_39_93___22_4L,L3_73__7_53L
L16_29__24_43L,L0_0__0_27L,L_4_31__4_86L,L_8_22__6_95L,L144_63__186_16L,L4_83__17_79L,L_39_93___22_4L,L3_73__7_53L
L0_0__8_14L,L0_0__0_27L,L_13_48___4_31L,L_8_22__6_95L,L103_11__144_63L,L43_7__56_66L,L_4_86__12_67L,L_3_87___0_07L
L0_0__8_14L,L0_0__0_27L,L4_86__14_04L,L22_12__37_29L,L144_63__186_16L,L30_74__43_7L,L_4_86__12_67L,L_3_87___0_07L
L32_58__40_72L,L0_0__0_27L,L4_86__14_04L,L6_95__22_12L,L186_16__227_68L,L4_83__17_79L,L_39_93___22_4L,L3_73__7_53L
L8_14__16_29L,L0_0__0_27L,L4_86__14_04L,L6_95__22_12L,L186_16__227_68L,L_8_13__4_83L,L_39_93___22_4L,L3_73__7_53L
L0_0__8_14L,L0_0__0_27L,L_4_31__4_86L,L6_95__22_12L,L186_16__227_68L,L4_83__17_79L,L_39_93___22_4L,L3_73__7_53L
L16_29__24_43L,L0_0__0_27L,L_4_31__4_86L,L6_95__22_12L,L186_16__227_68L,L4_83__17_79L,L_39_93___22_4L,L3_73__7_53L
L32_58__40_72L,L0_27__0_54L,L_13_48___4_31L,L_8_22__6_95L,L144_63__186_16L,L17_79__30_74L,L_39_93___22_4L,L3_73__7_53L
