Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L0_0__46_05L,L0_0__0_22L,L_14_99___5_69L,L_5_79__6_74L,L128_33__178_58L,L55_61__76_27L,L_17_66___5_55L,L_1_17__1_28L
L0_0__46_05L,L0_0__0_22L,L12_91__22_21L,L31_8__44_34L,L128_33__178_58L,L55_61__76_27L,L_5_55__6_56L,L_3_63___1_17L
L0_0__46_05L,L0_0__0_22L,L12_91__22_21L,L19_27__31_8L,L228_84__279_09L,L14_27__34_94L,L_54_0___41_89L,L6_19__8_65L
L46_05__92_11L,L0_22__0_44L,L12_91__22_21L,L19_27__31_8L,L228_84__279_09L,L_6_4__14_27L,L_54_0___41_89L,L6_19__8_65L
L0_0__46_05L,L0_0__0_22L,L3_61__12_91L,L6_74__19_27L,L228_84__279_09L,L_6_4__14_27L,L_41_89___29_78L,L3_74__6_19L
L0_0__46_05L,L0_0__0_22L,L3_61__12_91L,L6_74__19_27L,L228_84__279_09L,L_6_4__14_27L,L_54_0___41_89L,L6_19__8_65L
L46_05__92_11L,L0_22__0_44L,L_5_69__3_61L,L6_74__19_27L,L178_58__228_84L,L14_27__34_94L,L_54_0___41_89L,L6_19__8_65L
L0_0__46_05L,L0_0__0_22L,L_14_99___5_69L,L_5_79__6_74L,L178_58__228_84L,L55_61__76_27L,L_17_66___5_55L,L_3_63___1_17L
L0_0__46_05L,L0_0__0_22L,L12_91__22_21L,L31_8__44_34L,L178_58__228_84L,L55_61__76_27L,L_5_55__6_56L,L_3_63___1_17L
L46_05__92_11L,L0_0__0_22L,L12_91__22_21L,L19_27__31_8L,L228_84__279_09L,L14_27__34_94L,L_54_0___41_89L,L6_19__8_65L
L0_0__46_05L,L0_0__0_22L,L12_91__22_21L,L6_74__19_27L,L228_84__279_09L,L_6_4__14_27L,L_54_0___41_89L,L6_19__8_65L
L46_05__92_11L,L0_66__0_88L,L3_61__12_91L,L6_74__19_27L,L178_58__228_84L,L_6_4__14_27L,L_54_0___41_89L,L6_19__8_65L
L0_0__46_05L,L0_22__0_44L,L3_61__12_91L,L6_74__19_27L,L178_58__228_84L,L_6_4__14_27L,L_54_0___41_89L,L6_19__8_65L
L46_05__92_11L,L0_22__0_44L,L_5_69__3_61L,L6_74__19_27L,L178_58__228_84L,L14_27__34_94L,L_54_0___41_89L,L6_19__8_65L
L46_05__92_11L,L0_0__0_22L,L_24_29___14_99L,L_18_33___5_79L,L178_58__228_84L,L55_61__76_27L,L_29_78___17_66L,L_1_17__1_28L
L0_0__46_05L,L0_0__0_22L,L12_91__22_21L,L31_8__44_34L,L128_33__178_58L,L55_61__76_27L,L_5_55__6_56L,L_3_63___1_17L
L46_05__92_11L,L0_22__0_44L,L_24_29___14_99L,L_5_79__6_74L,L27_82__78_07L,L_27_06___6_4L,L_54_0___41_89L,L6_19__8_65L
L0_0__46_05L,L0_0__0_22L,L_14_99___5_69L,L_5_79__6_74L,L78_07__128_33L,L_27_06___6_4L,L_54_0___41_89L,L6_19__8_65L
L0_0__46_05L,L0_0__0_22L,L_14_99___5_69L,L_5_79__6_74L,L78_07__128_33L,L_27_06___6_4L,L_54_0___41_89L,L6_19__8_65L
L0_0__46_05L,L0_0__0_22L,L_14_99___5_69L,L_5_79__6_74L,L78_07__128_33L,L_27_06___6_4L,L_54_0___41_89L,L6_19__8_65L
L184_22__230_27L,L0_88__1_1L,L_24_29___14_99L,L_18_33___5_79L,L78_07__128_33L,L_27_06___6_4L,L_54_0___41_89L,L6_19__8_65L
L46_05__92_11L,L0_0__0_22L,L_24_29___14_99L,L_18_33___5_79L,L78_07__128_33L,L_6_4__14_27L,L_17_66___5_55L,L_1_17__1_28L
L46_05__92_11L,L0_0__0_22L,L_14_99___5_69L,L6_74__19_27L,L78_07__128_33L,L_6_4__14_27L,L_5_55__6_56L,L_3_63___1_17L
L0_0__46_05L,L0_22__0_44L,L_14_99___5_69L,L_5_79__6_74L,L78_07__128_33L,L_27_06___6_4L,L_54_0___41_89L,L6_19__8_65L
L46_05__92_11L,L0_22__0_44L,L_14_99___5_69L,L_5_79__6_74L,L78_07__128_33L,L_27_06___6_4L,L_41_89___29_78L,L6_19__8_65L
L46_05__92_11L,L0_0__0_22L,L_14_99___5_69L,L_5_79__6_74L,L78_07__128_33L,L_27_06___6_4L,L_41_89___29_78L,L3_74__6_19L
L46_05__92_11L,L0_44__0_66L,L_14_99___5_69L,L_5_79__6_74L,L78_07__128_33L,L_27_06___6_4L,L_41_89___29_78L,L6_19__8_65L
L92_11__138_16L,L0_22__0_44L,L_14_99___5_69L,L_5_79__6_74L,L27_82__78_07L,L_27_06___6_4L,L_41_89___29_78L,L6_19__8_65L
L0_0__46_05L,L0_0__0_22L,L_24_29___14_99L,L_18_33___5_79L,L27_82__78_07L,L_6_4__14_27L,L_17_66___5_55L,L1_28__3_74L
L138_16__184_22L,L0_0__0_22L,L_14_99___5_69L,L_5_79__6_74L,L27_82__78_07L,L_6_4__14_27L,L_5_55__6_56L,L_1_17__1_28L
L46_05__92_11L,L0_22__0_44L,L_5_69__3_61L,L_5_79__6_74L,L27_82__78_07L,L_27_06___6_4L,L_41_89___29_78L,L6_19__8_65L
