Deaths_per_Million,H2_Testing_policy
L4_5__6_74L,1
L4_5__6_74L,1
L2_25__4_5L,1
L2_25__4_5L,1
L2_25__4_5L,1
L2_25__4_5L,1
L2_25__4_5L,1
L2_25__4_5L,1
L2_25__4_5L,1
L2_25__4_5L,1
L2_25__4_5L,1
L2_25__4_5L,1
L2_25__4_5L,1
L2_25__4_5L,1
L2_25__4_5L,2
L2_25__4_5L,2
L2_25__4_5L,2
L2_25__4_5L,2
L2_25__4_5L,2
L2_25__4_5L,2
L2_25__4_5L,2
L2_25__4_5L,2
L2_25__4_5L,2
L2_25__4_5L,2
L2_25__4_5L,2
L2_25__4_5L,2
L2_25__4_5L,2
L2_25__4_5L,2
L2_25__4_5L,2
L2_25__4_5L,2
L0_0__2_25L,2
L0_0__2_25L,2
L2_25__4_5L,2
L0_0__2_25L,2
L2_25__4_5L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L0_0__2_25L,2
L2_25__4_5L,2
