Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L26_04__34_72L,L0_0__0_25L,L_27_27___20_53L,L_20_83___17_5L,L141_2__181_5L,L_16_47___10_83L,L_7_73__3_83L,L_5_86___2_69L
L0_0__8_68L,L0_25__0_51L,L_13_8___7_07L,L_14_16___10_82L,L100_9__141_2L,L_27_73___22_1L,L_7_73__3_83L,L_5_86___2_69L
L8_68__17_36L,L0_0__0_25L,L_7_07___0_33L,L_7_48___4_14L,L60_6__100_9L,L_39_0___33_37L,L_54_0___42_43L,L6_83__10_0L
L26_04__34_72L,L0_0__0_25L,L_7_07___0_33L,L_7_48___4_14L,L100_9__141_2L,L_39_0___33_37L,L_54_0___42_43L,L6_83__10_0L
L34_72__43_4L,L0_25__0_51L,L_7_07___0_33L,L_7_48___4_14L,L60_6__100_9L,L_39_0___33_37L,L_54_0___42_43L,L6_83__10_0L
L34_72__43_4L,L0_25__0_51L,L_13_8___7_07L,L_7_48___4_14L,L100_9__141_2L,L_39_0___33_37L,L_54_0___42_43L,L6_83__10_0L
L34_72__43_4L,L0_0__0_25L,L_27_27___20_53L,L_17_5___14_16L,L141_2__181_5L,L_39_0___33_37L,L_54_0___42_43L,L3_66__6_83L
L17_36__26_04L,L0_25__0_51L,L_34_0___27_27L,L_20_83___17_5L,L141_2__181_5L,L_22_1___16_47L,L_7_73__3_83L,L_5_86___2_69L
L0_0__8_68L,L0_0__0_25L,L_27_27___20_53L,L_10_82___7_48L,L141_2__181_5L,L_22_1___16_47L,L_7_73__3_83L,L_5_86___2_69L
L17_36__26_04L,L0_25__0_51L,L_7_07___0_33L,L_7_48___4_14L,L100_9__141_2L,L_39_0___33_37L,L_54_0___42_43L,L3_66__6_83L
L34_72__43_4L,L0_25__0_51L,L_13_8___7_07L,L_7_48___4_14L,L141_2__181_5L,L_39_0___33_37L,L_54_0___42_43L,L3_66__6_83L
L34_72__43_4L,L0_25__0_51L,L_13_8___7_07L,L_10_82___7_48L,L100_9__141_2L,L_39_0___33_37L,L_54_0___42_43L,L3_66__6_83L
L34_72__43_4L,L0_0__0_25L,L_13_8___7_07L,L_7_48___4_14L,L100_9__141_2L,L_39_0___33_37L,L_54_0___42_43L,L3_66__6_83L
L26_04__34_72L,L0_0__0_25L,L_20_53___13_8L,L_14_16___10_82L,L100_9__141_2L,L_39_0___33_37L,L_54_0___42_43L,L3_66__6_83L
L17_36__26_04L,L0_0__0_25L,L_34_0___27_27L,L_17_5___14_16L,L141_2__181_5L,L_16_47___10_83L,L_7_73__3_83L,L_5_86___2_69L
L0_0__8_68L,L0_0__0_25L,L_27_27___20_53L,L_10_82___7_48L,L141_2__181_5L,L_27_73___22_1L,L_7_73__3_83L,L_5_86___2_69L
L8_68__17_36L,L0_51__0_76L,L_20_53___13_8L,L_14_16___10_82L,L60_6__100_9L,L_39_0___33_37L,L_54_0___42_43L,L6_83__10_0L
L26_04__34_72L,L0_0__0_25L,L_20_53___13_8L,L_14_16___10_82L,L60_6__100_9L,L_39_0___33_37L,L_54_0___42_43L,L6_83__10_0L
L26_04__34_72L,L0_0__0_25L,L_20_53___13_8L,L_14_16___10_82L,L60_6__100_9L,L_39_0___33_37L,L_54_0___42_43L,L6_83__10_0L
L26_04__34_72L,L0_0__0_25L,L_20_53___13_8L,L_14_16___10_82L,L60_6__100_9L,L_39_0___33_37L,L_54_0___42_43L,L6_83__10_0L
L26_04__34_72L,L0_0__0_25L,L_27_27___20_53L,L_17_5___14_16L,L60_6__100_9L,L_33_37___27_73L,L_54_0___42_43L,L6_83__10_0L
L8_68__17_36L,L0_0__0_25L,L_27_27___20_53L,L_20_83___17_5L,L20_3__60_6L,L_27_73___22_1L,L_7_73__3_83L,L_2_69__0_49L
L0_0__8_68L,L0_0__0_25L,L_20_53___13_8L,L_14_16___10_82L,L20_3__60_6L,L_33_37___27_73L,L_7_73__3_83L,L_2_69__0_49L
L17_36__26_04L,L0_0__0_25L,L_20_53___13_8L,L_17_5___14_16L,L20_3__60_6L,L_39_0___33_37L,L_54_0___42_43L,L6_83__10_0L
L17_36__26_04L,L0_0__0_25L,L_13_8___7_07L,L_10_82___7_48L,L60_6__100_9L,L_33_37___27_73L,L_54_0___42_43L,L6_83__10_0L
L17_36__26_04L,L0_0__0_25L,L_20_53___13_8L,L_14_16___10_82L,L20_3__60_6L,L_39_0___33_37L,L_54_0___42_43L,L6_83__10_0L
L8_68__17_36L,L0_25__0_51L,L_20_53___13_8L,L_10_82___7_48L,L20_3__60_6L,L_33_37___27_73L,L_54_0___42_43L,L6_83__10_0L
L0_0__8_68L,L0_0__0_25L,L_20_53___13_8L,L_14_16___10_82L,L20_3__60_6L,L_33_37___27_73L,L_54_0___42_43L,L6_83__10_0L
L0_0__8_68L,L0_0__0_25L,L_27_27___20_53L,L_20_83___17_5L,L_20_0__20_3L,L_33_37___27_73L,L_19_3___7_73L,L0_49__3_66L
L0_0__8_68L,L0_0__0_25L,L_20_53___13_8L,L_17_5___14_16L,L20_3__60_6L,L_33_37___27_73L,L_7_73__3_83L,L_2_69__0_49L
L34_72__43_4L,L1_02__1_27L,L_20_53___13_8L,L_14_16___10_82L,L_20_0__20_3L,L_39_0___33_37L,L_54_0___42_43L,L6_83__10_0L
