Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L43_91__55_6L,L7_12__8_21L,L_46_83___37_84L,L_23_42___16_89L,L5_92__35_56L,L_64_92___55_71L,L_79_92___62_01L,L19_0__24_25L
L20_53__32_22L,L7_12__8_21L,L_28_86___19_87L,L_10_36___3_83L,L35_56__65_2L,L_46_5___37_29L,L_26_19___8_28L,L3_25__8_5L
L20_53__32_22L,L7_12__8_21L,L_28_86___19_87L,L_10_36___3_83L,L65_2__94_84L,L_37_29___28_08L,L_26_19___8_28L,L3_25__8_5L
L43_91__55_6L,L6_02__7_12L,L_19_87___10_88L,L_10_36___3_83L,L5_92__35_56L,L_46_5___37_29L,L_44_1___26_19L,L8_5__13_75L
L55_6__67_29L,L7_12__8_21L,L_19_87___10_88L,L_3_83__2_69L,L35_56__65_2L,L_46_5___37_29L,L_44_1___26_19L,L8_5__13_75L
L67_29__78_98L,L7_12__8_21L,L_19_87___10_88L,L_3_83__2_69L,L35_56__65_2L,L_46_5___37_29L,L_44_1___26_19L,L8_5__13_75L
L67_29__78_98L,L4_93__6_02L,L_19_87___10_88L,L_3_83__2_69L,L65_2__94_84L,L_46_5___37_29L,L_26_19___8_28L,L8_5__13_75L
L67_29__78_98L,L6_02__7_12L,L_19_87___10_88L,L_3_83__2_69L,L65_2__94_84L,L_46_5___37_29L,L_44_1___26_19L,L8_5__13_75L
L43_91__55_6L,L7_12__8_21L,L_28_86___19_87L,L_10_36___3_83L,L124_48__154_12L,L_37_29___28_08L,L_8_28__9_62L,L_2_0__3_25L
L20_53__32_22L,L6_02__7_12L,L_28_86___19_87L,L_10_36___3_83L,L5_92__35_56L,L_46_5___37_29L,L_26_19___8_28L,L3_25__8_5L
L43_91__55_6L,L4_93__6_02L,L_19_87___10_88L,L_10_36___3_83L,L35_56__65_2L,L_46_5___37_29L,L_44_1___26_19L,L8_5__13_75L
L67_29__78_98L,L3_83__4_93L,L_28_86___19_87L,L_10_36___3_83L,L5_92__35_56L,L_46_5___37_29L,L_44_1___26_19L,L8_5__13_75L
L67_29__78_98L,L3_83__4_93L,L_19_87___10_88L,L_10_36___3_83L,L35_56__65_2L,L_46_5___37_29L,L_44_1___26_19L,L8_5__13_75L
L55_6__67_29L,L4_93__6_02L,L_19_87___10_88L,L_3_83__2_69L,L35_56__65_2L,L_46_5___37_29L,L_26_19___8_28L,L8_5__13_75L
L55_6__67_29L,L3_83__4_93L,L_28_86___19_87L,L_10_36___3_83L,L5_92__35_56L,L_46_5___37_29L,L_44_1___26_19L,L8_5__13_75L
L32_22__43_91L,L4_93__6_02L,L_28_86___19_87L,L_10_36___3_83L,L35_56__65_2L,L_37_29___28_08L,L_8_28__9_62L,L3_25__8_5L
L20_53__32_22L,L4_93__6_02L,L_28_86___19_87L,L_10_36___3_83L,L5_92__35_56L,L_46_5___37_29L,L_8_28__9_62L,L3_25__8_5L
L32_22__43_91L,L3_83__4_93L,L_19_87___10_88L,L_10_36___3_83L,L35_56__65_2L,L_46_5___37_29L,L_44_1___26_19L,L8_5__13_75L
L55_6__67_29L,L4_93__6_02L,L_19_87___10_88L,L_3_83__2_69L,L35_56__65_2L,L_46_5___37_29L,L_44_1___26_19L,L8_5__13_75L
L67_29__78_98L,L4_93__6_02L,L_10_88___1_89L,L2_69__9_22L,L94_84__124_48L,L_37_29___28_08L,L_44_1___26_19L,L3_25__8_5L
L55_6__67_29L,L4_93__6_02L,L_37_84___28_86L,L_10_36___3_83L,L124_48__154_12L,L_55_71___46_5L,L_79_92___62_01L,L13_75__19_0L
L43_91__55_6L,L4_93__6_02L,L_19_87___10_88L,L_10_36___3_83L,L94_84__124_48L,L_46_5___37_29L,L_62_01___44_1L,L8_5__13_75L
L32_22__43_91L,L3_83__4_93L,L_28_86___19_87L,L_10_36___3_83L,L5_92__35_56L,L_46_5___37_29L,L_8_28__9_62L,L3_25__8_5L
L20_53__32_22L,L3_83__4_93L,L_28_86___19_87L,L_10_36___3_83L,L5_92__35_56L,L_37_29___28_08L,L_8_28__9_62L,L_2_0__3_25L
L43_91__55_6L,L2_74__3_83L,L_10_88___1_89L,L_3_83__2_69L,L65_2__94_84L,L_37_29___28_08L,L_44_1___26_19L,L8_5__13_75L
L67_29__78_98L,L2_74__3_83L,L_10_88___1_89L,L_3_83__2_69L,L124_48__154_12L,L_37_29___28_08L,L_26_19___8_28L,L3_25__8_5L
L67_29__78_98L,L3_83__4_93L,L_10_88___1_89L,L_3_83__2_69L,L35_56__65_2L,L_37_29___28_08L,L_26_19___8_28L,L8_5__13_75L
L67_29__78_98L,L3_83__4_93L,L_10_88___1_89L,L_3_83__2_69L,L65_2__94_84L,L_37_29___28_08L,L_26_19___8_28L,L8_5__13_75L
L67_29__78_98L,L2_74__3_83L,L_10_88___1_89L,L_3_83__2_69L,L94_84__124_48L,L_37_29___28_08L,L_26_19___8_28L,L3_25__8_5L
L32_22__43_91L,L3_83__4_93L,L_19_87___10_88L,L_3_83__2_69L,L124_48__154_12L,L_28_08___18_88L,L_8_28__9_62L,L_2_0__3_25L
L20_53__32_22L,L3_83__4_93L,L_10_88___1_89L,L2_69__9_22L,L124_48__154_12L,L_28_08___18_88L,L_8_28__9_62L,L_2_0__3_25L
