Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L58_3__85_22L,L3_11__3_75L,L_9_9__3_71L,L_8_53__3_64L,L117_33__142_23L,L_30_01___22_79L,L_42_75___24_41L,L4_28__7_08L
L85_22__112_14L,L2_46__3_11L,L_9_9__3_71L,L_8_53__3_64L,L117_33__142_23L,L_30_01___22_79L,L_42_75___24_41L,L4_28__7_08L
L85_22__112_14L,L3_75__4_4L,L_9_9__3_71L,L_8_53__3_64L,L92_42__117_33L,L_37_23___30_01L,L_24_41___6_06L,L7_08__9_89L
L85_22__112_14L,L3_11__3_75L,L_9_9__3_71L,L_8_53__3_64L,L92_42__117_33L,L_37_23___30_01L,L_42_75___24_41L,L7_08__9_89L
L85_22__112_14L,L2_46__3_11L,L_23_5___9_9L,L_8_53__3_64L,L42_6__67_51L,L_37_23___30_01L,L_42_75___24_41L,L7_08__9_89L
L58_3__85_22L,L3_11__3_75L,L_23_5___9_9L,L_8_53__3_64L,L42_6__67_51L,L_37_23___30_01L,L_6_06__12_29L,L1_47__4_28L
L31_38__58_3L,L3_11__3_75L,L_23_5___9_9L,L_8_53__3_64L,L67_51__92_42L,L_30_01___22_79L,L_6_06__12_29L,L1_47__4_28L
L58_3__85_22L,L3_11__3_75L,L_9_9__3_71L,L_8_53__3_64L,L92_42__117_33L,L_37_23___30_01L,L_42_75___24_41L,L7_08__9_89L
L85_22__112_14L,L3_75__4_4L,L_9_9__3_71L,L_8_53__3_64L,L117_33__142_23L,L_30_01___22_79L,L_42_75___24_41L,L4_28__7_08L
L139_06__165_98L,L3_11__3_75L,L_9_9__3_71L,L_8_53__3_64L,L117_33__142_23L,L_30_01___22_79L,L_42_75___24_41L,L4_28__7_08L
L112_14__139_06L,L2_46__3_11L,L_9_9__3_71L,L3_64__15_82L,L92_42__117_33L,L_30_01___22_79L,L_42_75___24_41L,L7_08__9_89L
L112_14__139_06L,L3_11__3_75L,L_23_5___9_9L,L_8_53__3_64L,L117_33__142_23L,L_37_23___30_01L,L_42_75___24_41L,L4_28__7_08L
L85_22__112_14L,L2_46__3_11L,L_23_5___9_9L,L_8_53__3_64L,L142_23__167_14L,L_22_79___15_57L,L_6_06__12_29L,L_1_34__1_47L
L31_38__58_3L,L2_46__3_11L,L_23_5___9_9L,L_8_53__3_64L,L142_23__167_14L,L_22_79___15_57L,L_6_06__12_29L,L_4_14___1_34L
L58_3__85_22L,L2_46__3_11L,L_9_9__3_71L,L_8_53__3_64L,L117_33__142_23L,L_30_01___22_79L,L_42_75___24_41L,L4_28__7_08L
L112_14__139_06L,L3_11__3_75L,L_9_9__3_71L,L_8_53__3_64L,L67_51__92_42L,L_37_23___30_01L,L_42_75___24_41L,L7_08__9_89L
L139_06__165_98L,L2_46__3_11L,L_9_9__3_71L,L3_64__15_82L,L67_51__92_42L,L_30_01___22_79L,L_42_75___24_41L,L4_28__7_08L
L139_06__165_98L,L2_46__3_11L,L_9_9__3_71L,L15_82__28_0L,L92_42__117_33L,L_30_01___22_79L,L_42_75___24_41L,L4_28__7_08L
L112_14__139_06L,L2_46__3_11L,L_64_33___50_72L,L_32_89___20_71L,L117_33__142_23L,L_51_67___44_45L,L_79_44___61_1L,L7_08__9_89L
L58_3__85_22L,L1_82__2_46L,L_64_33___50_72L,L_32_89___20_71L,L92_42__117_33L,L_44_45___37_23L,L_24_41___6_06L,L_1_34__1_47L
L31_38__58_3L,L1_82__2_46L,L_23_5___9_9L,L_8_53__3_64L,L67_51__92_42L,L_37_23___30_01L,L_6_06__12_29L,L_4_14___1_34L
L58_3__85_22L,L1_82__2_46L,L_9_9__3_71L,L_8_53__3_64L,L67_51__92_42L,L_37_23___30_01L,L_42_75___24_41L,L7_08__9_89L
L112_14__139_06L,L1_82__2_46L,L_9_9__3_71L,L_8_53__3_64L,L142_23__167_14L,L_30_01___22_79L,L_42_75___24_41L,L4_28__7_08L
L139_06__165_98L,L1_82__2_46L,L_23_5___9_9L,L_8_53__3_64L,L142_23__167_14L,L_37_23___30_01L,L_42_75___24_41L,L4_28__7_08L
L112_14__139_06L,L1_17__1_82L,L_9_9__3_71L,L3_64__15_82L,L142_23__167_14L,L_30_01___22_79L,L_42_75___24_41L,L4_28__7_08L
L112_14__139_06L,L1_17__1_82L,L_23_5___9_9L,L_8_53__3_64L,L142_23__167_14L,L_37_23___30_01L,L_42_75___24_41L,L4_28__7_08L
L58_3__85_22L,L1_82__2_46L,L_37_11___23_5L,L_20_71___8_53L,L142_23__167_14L,L_22_79___15_57L,L_6_06__12_29L,L_4_14___1_34L
L31_38__58_3L,L1_17__1_82L,L_23_5___9_9L,L_8_53__3_64L,L67_51__92_42L,L_30_01___22_79L,L_6_06__12_29L,L_4_14___1_34L
L58_3__85_22L,L1_82__2_46L,L_9_9__3_71L,L_8_53__3_64L,L67_51__92_42L,L_37_23___30_01L,L_42_75___24_41L,L7_08__9_89L
L58_3__85_22L,L1_17__1_82L,L_9_9__3_71L,L_8_53__3_64L,L42_6__67_51L,L_37_23___30_01L,L_42_75___24_41L,L7_08__9_89L
