Deaths_per_Million,H6_Facial_Coverings
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L4_5__6_74L,0
L4_5__6_74L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L8_99__11_24L,0
L6_74__8_99L,0
L6_74__8_99L,0
L8_99__11_24L,0
L8_99__11_24L,0
L6_74__8_99L,0
L6_74__8_99L,0
L8_99__11_24L,0
L8_99__11_24L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L4_5__6_74L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L6_74__8_99L,0
L4_5__6_74L,0
L6_74__8_99L,0
L6_74__8_99L,0
L4_5__6_74L,0
L4_5__6_74L,0
L4_5__6_74L,0
L4_5__6_74L,0
L4_5__6_74L,0
L4_5__6_74L,0
L4_5__6_74L,0
L4_5__6_74L,0
L2_25__4_5L,0
L4_5__6_74L,0
L4_5__6_74L,0
L4_5__6_74L,0
L4_5__6_74L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L2_25__4_5L,0
L0_0__2_25L,0
L0_0__2_25L,0
L2_25__4_5L,0
L0_0__2_25L,0
L2_25__4_5L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L0_0__2_25L,0
L2_25__4_5L,0
