Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L0_0__30_17L,L0_47__0_7L,L_19_02___15_03L,L_11_52___8_78L,L47_67__70_0L,L_34_17___30_34L,L_47_0___37_8L,L8_56__11_0L
L0_0__30_17L,L0_47__0_7L,L_19_02___15_03L,L_14_26___11_52L,L25_33__47_67L,L_38_0___34_17L,L_47_0___37_8L,L8_56__11_0L
L0_0__30_17L,L0_94__1_17L,L_23_0___19_02L,L_14_26___11_52L,L3_0__25_33L,L_38_0___34_17L,L_47_0___37_8L,L8_56__11_0L
L0_0__30_17L,L0_23__0_47L,L_23_0___19_02L,L_17_0___14_26L,L25_33__47_67L,L_34_17___30_34L,L_47_0___37_8L,L6_11__8_56L
L0_0__30_17L,L0_0__0_23L,L_23_0___19_02L,L_17_0___14_26L,L3_0__25_33L,L_26_51___22_68L,L_10_2___1_0L,L_1_22__1_22L
L0_0__30_17L,L0_0__0_23L,L_19_02___15_03L,L_14_26___11_52L,L3_0__25_33L,L_34_17___30_34L,L_10_2___1_0L,L_1_22__1_22L
L30_17__60_33L,L0_0__0_23L,L_19_02___15_03L,L_14_26___11_52L,L25_33__47_67L,L_34_17___30_34L,L_47_0___37_8L,L8_56__11_0L
L0_0__30_17L,L0_0__0_23L,L_23_0___19_02L,L_17_0___14_26L,L3_0__25_33L,L_38_0___34_17L,L_47_0___37_8L,L8_56__11_0L
L0_0__30_17L,L0_23__0_47L,L_23_0___19_02L,L_17_0___14_26L,L3_0__25_33L,L_38_0___34_17L,L_47_0___37_8L,L8_56__11_0L
L30_17__60_33L,L0_0__0_23L,L_19_02___15_03L,L_14_26___11_52L,L25_33__47_67L,L_38_0___34_17L,L_47_0___37_8L,L8_56__11_0L
L30_17__60_33L,L0_23__0_47L,L_15_03___11_05L,L_8_78___6_05L,L47_67__70_0L,L_30_34___26_51L,L_37_8___28_6L,L3_67__6_11L
L0_0__30_17L,L0_0__0_23L,L_15_03___11_05L,L_8_78___6_05L,L25_33__47_67L,L_30_34___26_51L,L_10_2___1_0L,L_1_22__1_22L
L0_0__30_17L,L0_0__0_23L,L_15_03___11_05L,L_8_78___6_05L,L25_33__47_67L,L_30_34___26_51L,L_10_2___1_0L,L_1_22__1_22L
L0_0__30_17L,L0_0__0_23L,L_11_05___7_06L,L_8_78___6_05L,L70_0__92_33L,L_30_34___26_51L,L_28_6___19_4L,L3_67__6_11L
L60_33__90_5L,L0_47__0_7L,L_11_05___7_06L,L_6_05___3_31L,L92_33__114_67L,L_26_51___22_68L,L_28_6___19_4L,L3_67__6_11L
L0_0__30_17L,L0_7__0_94L,L_15_03___11_05L,L_8_78___6_05L,L47_67__70_0L,L_30_34___26_51L,L_28_6___19_4L,L3_67__6_11L
L30_17__60_33L,L0_23__0_47L,L_11_05___7_06L,L_6_05___3_31L,L47_67__70_0L,L_30_34___26_51L,L_28_6___19_4L,L3_67__6_11L
L30_17__60_33L,L0_0__0_23L,L_11_05___7_06L,L_8_78___6_05L,L70_0__92_33L,L_26_51___22_68L,L_28_6___19_4L,L3_67__6_11L
L0_0__30_17L,L0_0__0_23L,L_11_05___7_06L,L_8_78___6_05L,L92_33__114_67L,L_22_68___18_85L,L_10_2___1_0L,L_1_22__1_22L
L0_0__30_17L,L0_0__0_23L,L_15_03___11_05L,L_8_78___6_05L,L47_67__70_0L,L_30_34___26_51L,L_10_2___1_0L,L_1_22__1_22L
L0_0__30_17L,L0_0__0_23L,L_11_05___7_06L,L_11_52___8_78L,L47_67__70_0L,L_30_34___26_51L,L_28_6___19_4L,L3_67__6_11L
L90_5__120_66L,L0_47__0_7L,L_11_05___7_06L,L_8_78___6_05L,L70_0__92_33L,L_30_34___26_51L,L_28_6___19_4L,L3_67__6_11L
L30_17__60_33L,L0_47__0_7L,L_15_03___11_05L,L_8_78___6_05L,L47_67__70_0L,L_30_34___26_51L,L_28_6___19_4L,L3_67__6_11L
L30_17__60_33L,L0_0__0_23L,L_11_05___7_06L,L_6_05___3_31L,L25_33__47_67L,L_30_34___26_51L,L_28_6___19_4L,L3_67__6_11L
L60_33__90_5L,L0_0__0_23L,L_7_06___3_08L,L_6_05___3_31L,L25_33__47_67L,L_26_51___22_68L,L_28_6___19_4L,L3_67__6_11L
L0_0__30_17L,L0_0__0_23L,L_7_06___3_08L,L_6_05___3_31L,L25_33__47_67L,L_22_68___18_85L,L_10_2___1_0L,L_1_22__1_22L
L0_0__30_17L,L0_0__0_23L,L_7_06___3_08L,L_6_05___3_31L,L25_33__47_67L,L_26_51___22_68L,L_10_2___1_0L,L_1_22__1_22L
L0_0__30_17L,L0_0__0_23L,L_7_06___3_08L,L_6_05___3_31L,L25_33__47_67L,L_30_34___26_51L,L_28_6___19_4L,L3_67__6_11L
L120_66__150_83L,L0_94__1_17L,L_7_06___3_08L,L_6_05___3_31L,L25_33__47_67L,L_30_34___26_51L,L_28_6___19_4L,L3_67__6_11L
L30_17__60_33L,L0_23__0_47L,L_11_05___7_06L,L_6_05___3_31L,L25_33__47_67L,L_30_34___26_51L,L_28_6___19_4L,L3_67__6_11L
