Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L55_48__68_33L,L1_25__1_56L,L_1_51__5_5L,L_3_39__0_9L,L75_81__103_4L,L_38_57___33_29L,L_47_57___34_14L,L8_12__11_33L
L55_48__68_33L,L0_63__0_94L,L_1_51__5_5L,L_3_39__0_9L,L75_81__103_4L,L_33_29___28_0L,L_47_57___34_14L,L8_12__11_33L
L55_48__68_33L,L1_25__1_56L,L_15_54___8_53L,L_11_98___7_69L,L75_81__103_4L,L_38_57___33_29L,L_47_57___34_14L,L4_91__8_12L
L29_79__42_64L,L0_63__0_94L,L_22_56___15_54L,L_11_98___7_69L,L20_64__48_22L,L_33_29___28_0L,L_7_29__6_14L,L_1_5__1_7L
L29_79__42_64L,L1_25__1_56L,L_15_54___8_53L,L_11_98___7_69L,L20_64__48_22L,L_38_57___33_29L,L_7_29__6_14L,L1_7__4_91L
L16_95__29_79L,L0_94__1_25L,L_1_51__5_5L,L_3_39__0_9L,L20_64__48_22L,L_43_86___38_57L,L_61_0___47_57L,L8_12__11_33L
L16_95__29_79L,L0_94__1_25L,L_1_51__5_5L,L_3_39__0_9L,L75_81__103_4L,L_38_57___33_29L,L_61_0___47_57L,L8_12__11_33L
L42_64__55_48L,L1_25__1_56L,L_8_53___1_51L,L_7_69___3_39L,L75_81__103_4L,L_38_57___33_29L,L_61_0___47_57L,L8_12__11_33L
L29_79__42_64L,L1_25__1_56L,L_8_53___1_51L,L_7_69___3_39L,L103_4__130_98L,L_38_57___33_29L,L_61_0___47_57L,L8_12__11_33L
L29_79__42_64L,L0_94__1_25L,L_22_56___15_54L,L_16_28___11_98L,L75_81__103_4L,L_43_86___38_57L,L_61_0___47_57L,L8_12__11_33L
L29_79__42_64L,L0_63__0_94L,L_29_57___22_56L,L_20_57___16_28L,L75_81__103_4L,L_28_0___22_71L,L_7_29__6_14L,L_1_5__1_7L
L4_11__16_95L,L1_25__1_56L,L_22_56___15_54L,L_16_28___11_98L,L75_81__103_4L,L_33_29___28_0L,L_7_29__6_14L,L_4_71___1_5L
L4_11__16_95L,L0_63__0_94L,L_8_53___1_51L,L_7_69___3_39L,L75_81__103_4L,L_43_86___38_57L,L_61_0___47_57L,L8_12__11_33L
L29_79__42_64L,L0_31__0_63L,L_8_53___1_51L,L_11_98___7_69L,L75_81__103_4L,L_43_86___38_57L,L_61_0___47_57L,L8_12__11_33L
L16_95__29_79L,L0_63__0_94L,L_1_51__5_5L,L_7_69___3_39L,L75_81__103_4L,L_43_86___38_57L,L_61_0___47_57L,L8_12__11_33L
L16_95__29_79L,L0_63__0_94L,L_8_53___1_51L,L_11_98___7_69L,L103_4__130_98L,L_43_86___38_57L,L_61_0___47_57L,L8_12__11_33L
L16_95__29_79L,L0_94__1_25L,L_29_57___22_56L,L_20_57___16_28L,L130_98__158_57L,L_43_86___38_57L,L_61_0___47_57L,L4_91__8_12L
L16_95__29_79L,L0_94__1_25L,L_29_57___22_56L,L_20_57___16_28L,L130_98__158_57L,L_22_71___17_43L,L_7_29__6_14L,L_4_71___1_5L
L4_11__16_95L,L0_63__0_94L,L_29_57___22_56L,L_16_28___11_98L,L130_98__158_57L,L_28_0___22_71L,L_7_29__6_14L,L_4_71___1_5L
L4_11__16_95L,L0_63__0_94L,L_8_53___1_51L,L_7_69___3_39L,L75_81__103_4L,L_43_86___38_57L,L_61_0___47_57L,L8_12__11_33L
L16_95__29_79L,L0_63__0_94L,L_8_53___1_51L,L_11_98___7_69L,L103_4__130_98L,L_43_86___38_57L,L_61_0___47_57L,L8_12__11_33L
L16_95__29_79L,L0_31__0_63L,L_15_54___8_53L,L_11_98___7_69L,L75_81__103_4L,L_43_86___38_57L,L_61_0___47_57L,L8_12__11_33L
L16_95__29_79L,L0_31__0_63L,L_15_54___8_53L,L_11_98___7_69L,L75_81__103_4L,L_43_86___38_57L,L_61_0___47_57L,L8_12__11_33L
L16_95__29_79L,L0_0__0_31L,L_15_54___8_53L,L_11_98___7_69L,L75_81__103_4L,L_43_86___38_57L,L_61_0___47_57L,L8_12__11_33L
L4_11__16_95L,L0_0__0_31L,L_22_56___15_54L,L_20_57___16_28L,L130_98__158_57L,L_22_71___17_43L,L_7_29__6_14L,L_4_71___1_5L
L4_11__16_95L,L0_31__0_63L,L_15_54___8_53L,L_11_98___7_69L,L75_81__103_4L,L_28_0___22_71L,L_7_29__6_14L,L_4_71___1_5L
L4_11__16_95L,L0_31__0_63L,L_1_51__5_5L,L_7_69___3_39L,L75_81__103_4L,L_43_86___38_57L,L_61_0___47_57L,L8_12__11_33L
L16_95__29_79L,L0_0__0_31L,L_1_51__5_5L,L_7_69___3_39L,L75_81__103_4L,L_43_86___38_57L,L_61_0___47_57L,L8_12__11_33L
L16_95__29_79L,L0_0__0_31L,L_1_51__5_5L,L_7_69___3_39L,L48_22__75_81L,L_43_86___38_57L,L_61_0___47_57L,L8_12__11_33L
L16_95__29_79L,L0_0__0_31L,L_1_51__5_5L,L_7_69___3_39L,L48_22__75_81L,L_43_86___38_57L,L_61_0___47_57L,L8_12__11_33L
L16_95__29_79L,L0_0__0_31L,L_22_56___15_54L,L_20_57___16_28L,L130_98__158_57L,L_43_86___38_57L,L_61_0___47_57L,L4_91__8_12L
