Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L39_06__48_8L,L6_06__7_1L,L_34_48___26_62L,L_15_62___8_45L,L_11_2__12_22L,L_46_51___39_96L,L_39_93___25_67L,L12_14__16_07L
L48_8__58_53L,L7_1__8_13L,L_34_48___26_62L,L_15_62___8_45L,L_11_2__12_22L,L_46_51___39_96L,L_39_93___25_67L,L12_14__16_07L
L58_53__68_27L,L6_06__7_1L,L_34_48___26_62L,L_8_45___1_27L,L_11_2__12_22L,L_46_51___39_96L,L_39_93___25_67L,L12_14__16_07L
L29_33__39_06L,L8_13__9_17L,L_42_33___34_48L,L_15_62___8_45L,L35_63__59_04L,L_39_96___33_4L,L_25_67___11_4L,L4_3__8_22L
L29_33__39_06L,L8_13__9_17L,L_34_48___26_62L,L_15_62___8_45L,L35_63__59_04L,L_46_51___39_96L,L_25_67___11_4L,L4_3__8_22L
L29_33__39_06L,L8_13__9_17L,L_18_77___10_92L,L_8_45___1_27L,L59_04__82_46L,L_46_51___39_96L,L_39_93___25_67L,L12_14__16_07L
L68_27__78_01L,L10_21__11_24L,L_26_62___18_77L,L_8_45___1_27L,L35_63__59_04L,L_46_51___39_96L,L_54_2___39_93L,L12_14__16_07L
L58_53__68_27L,L8_13__9_17L,L_18_77___10_92L,L_1_27__5_91L,L35_63__59_04L,L_46_51___39_96L,L_39_93___25_67L,L8_22__12_14L
L58_53__68_27L,L8_13__9_17L,L_18_77___10_92L,L5_91__13_08L,L35_63__59_04L,L_46_51___39_96L,L_54_2___39_93L,L12_14__16_07L
L39_06__48_8L,L9_17__10_21L,L_50_18___42_33L,L_22_8___15_62L,L59_04__82_46L,L_66_18___59_63L,L_82_73___68_46L,L19_99__23_91L
L29_33__39_06L,L9_17__10_21L,L_50_18___42_33L,L_22_8___15_62L,L35_63__59_04L,L_46_51___39_96L,L_25_67___11_4L,L4_3__8_22L
L39_06__48_8L,L8_13__9_17L,L_42_33___34_48L,L_22_8___15_62L,L12_22__35_63L,L_53_07___46_51L,L_25_67___11_4L,L4_3__8_22L
L39_06__48_8L,L8_13__9_17L,L_42_33___34_48L,L_22_8___15_62L,L12_22__35_63L,L_66_18___59_63L,L_82_73___68_46L,L19_99__23_91L
L39_06__48_8L,L10_21__11_24L,L_26_62___18_77L,L_15_62___8_45L,L12_22__35_63L,L_46_51___39_96L,L_39_93___25_67L,L12_14__16_07L
L58_53__68_27L,L10_21__11_24L,L_26_62___18_77L,L_8_45___1_27L,L35_63__59_04L,L_46_51___39_96L,L_39_93___25_67L,L12_14__16_07L
L58_53__68_27L,L7_1__8_13L,L_26_62___18_77L,L_8_45___1_27L,L35_63__59_04L,L_46_51___39_96L,L_39_93___25_67L,L12_14__16_07L
L58_53__68_27L,L8_13__9_17L,L_26_62___18_77L,L_8_45___1_27L,L35_63__59_04L,L_39_96___33_4L,L_39_93___25_67L,L12_14__16_07L
L48_8__58_53L,L8_13__9_17L,L_34_48___26_62L,L_8_45___1_27L,L59_04__82_46L,L_39_96___33_4L,L_25_67___11_4L,L4_3__8_22L
L29_33__39_06L,L8_13__9_17L,L_34_48___26_62L,L_15_62___8_45L,L82_46__105_88L,L_39_96___33_4L,L_25_67___11_4L,L4_3__8_22L
L39_06__48_8L,L6_06__7_1L,L_18_77___10_92L,L_8_45___1_27L,L59_04__82_46L,L_39_96___33_4L,L_39_93___25_67L,L8_22__12_14L
L68_27__78_01L,L7_1__8_13L,L_18_77___10_92L,L_8_45___1_27L,L82_46__105_88L,L_39_96___33_4L,L_39_93___25_67L,L8_22__12_14L
L68_27__78_01L,L8_13__9_17L,L_26_62___18_77L,L_8_45___1_27L,L82_46__105_88L,L_39_96___33_4L,L_39_93___25_67L,L8_22__12_14L
L68_27__78_01L,L8_13__9_17L,L_18_77___10_92L,L_8_45___1_27L,L82_46__105_88L,L_39_96___33_4L,L_39_93___25_67L,L8_22__12_14L
L68_27__78_01L,L7_1__8_13L,L_18_77___10_92L,L_8_45___1_27L,L12_22__35_63L,L_46_51___39_96L,L_39_93___25_67L,L8_22__12_14L
L39_06__48_8L,L7_1__8_13L,L_26_62___18_77L,L_8_45___1_27L,L59_04__82_46L,L_39_96___33_4L,L_25_67___11_4L,L4_3__8_22L
L29_33__39_06L,L7_1__8_13L,L_26_62___18_77L,L_8_45___1_27L,L59_04__82_46L,L_39_96___33_4L,L_25_67___11_4L,L4_3__8_22L
L48_8__58_53L,L7_1__8_13L,L_18_77___10_92L,L_8_45___1_27L,L_11_2__12_22L,L_46_51___39_96L,L_39_93___25_67L,L8_22__12_14L
L68_27__78_01L,L8_13__9_17L,L_18_77___10_92L,L_8_45___1_27L,L12_22__35_63L,L_46_51___39_96L,L_39_93___25_67L,L12_14__16_07L
L68_27__78_01L,L7_1__8_13L,L_18_77___10_92L,L_1_27__5_91L,L12_22__35_63L,L_39_96___33_4L,L_39_93___25_67L,L8_22__12_14L
L58_53__68_27L,L7_1__8_13L,L_18_77___10_92L,L5_91__13_08L,L12_22__35_63L,L_39_96___33_4L,L_39_93___25_67L,L8_22__12_14L
