Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L0_47__0_71L,L0_0__0_01L,L_33_16___29_37L,L_3_34__2_79L,L_31_76___23_12L,L_46_77___41_65L,L_32_44___27_7L,L16_38__18_52L
L0_71__0_94L,L0_03__0_04L,L_29_37___25_58L,L2_79__8_93L,L_31_76___23_12L,L_41_65___36_54L,L_27_7___22_96L,L12_1__14_24L
L0_71__0_94L,L0_03__0_04L,L_29_37___25_58L,L_3_34__2_79L,L_14_47___5_83L,L_41_65___36_54L,L_32_44___27_7L,L9_96__12_1L
L0_94__1_18L,L0_03__0_04L,L_33_16___29_37L,L_9_48___3_34L,L_23_12___14_47L,L_46_77___41_65L,L_37_18___32_44L,L16_38__18_52L
L0_94__1_18L,L0_03__0_04L,L_29_37___25_58L,L_3_34__2_79L,L_23_12___14_47L,L_46_77___41_65L,L_32_44___27_7L,L16_38__18_52L
L0_71__0_94L,L0_0__0_01L,L_29_37___25_58L,L_3_34__2_79L,L_23_12___14_47L,L_46_77___41_65L,L_32_44___27_7L,L16_38__18_52L
L0_71__0_94L,L0_0__0_01L,L_29_37___25_58L,L_3_34__2_79L,L_23_12___14_47L,L_46_77___41_65L,L_32_44___27_7L,L16_38__18_52L
L0_0__0_24L,L0_0__0_01L,L_25_58___21_78L,L2_79__8_93L,L_14_47___5_83L,L_41_65___36_54L,L_32_44___27_7L,L16_38__18_52L
L0_71__0_94L,L0_0__0_01L,L_17_99___14_2L,L15_06__21_2L,L_23_12___14_47L,L_36_54___31_42L,L_27_7___22_96L,L12_1__14_24L
L0_24__0_47L,L0_0__0_01L,L_25_58___21_78L,L_3_34__2_79L,L_14_47___5_83L,L_36_54___31_42L,L_27_7___22_96L,L7_82__9_96L
L0_71__0_94L,L0_0__0_01L,L_29_37___25_58L,L_3_34__2_79L,L_23_12___14_47L,L_46_77___41_65L,L_27_7___22_96L,L14_24__16_38L
L0_24__0_47L,L0_03__0_04L,L_29_37___25_58L,L_3_34__2_79L,L_23_12___14_47L,L_46_77___41_65L,L_32_44___27_7L,L14_24__16_38L
L0_24__0_47L,L0_0__0_01L,L_29_37___25_58L,L_3_34__2_79L,L_23_12___14_47L,L_41_65___36_54L,L_32_44___27_7L,L14_24__16_38L
L0_94__1_18L,L0_0__0_01L,L_29_37___25_58L,L_3_34__2_79L,L_14_47___5_83L,L_41_65___36_54L,L_32_44___27_7L,L14_24__16_38L
L0_47__0_71L,L0_0__0_01L,L_25_58___21_78L,L2_79__8_93L,L_14_47___5_83L,L_41_65___36_54L,L_27_7___22_96L,L14_24__16_38L
L0_24__0_47L,L0_0__0_01L,L_21_78___17_99L,L8_93__15_06L,L2_81__11_45L,L_26_3___21_19L,L_22_96___18_22L,L7_82__9_96L
L0_24__0_47L,L0_03__0_04L,L_21_78___17_99L,L2_79__8_93L,L2_81__11_45L,L_36_54___31_42L,L_22_96___18_22L,L7_82__9_96L
L0_47__0_71L,L0_0__0_01L,L_25_58___21_78L,L_3_34__2_79L,L_14_47___5_83L,L_41_65___36_54L,L_27_7___22_96L,L12_1__14_24L
L0_0__0_24L,L0_03__0_04L,L_25_58___21_78L,L_3_34__2_79L,L_23_12___14_47L,L_41_65___36_54L,L_27_7___22_96L,L14_24__16_38L
L0_24__0_47L,L0_0__0_01L,L_25_58___21_78L,L_3_34__2_79L,L_23_12___14_47L,L_41_65___36_54L,L_27_7___22_96L,L14_24__16_38L
L0_47__0_71L,L0_03__0_04L,L_25_58___21_78L,L_3_34__2_79L,L_31_76___23_12L,L_41_65___36_54L,L_27_7___22_96L,L14_24__16_38L
L0_0__0_24L,L0_0__0_01L,L_21_78___17_99L,L2_79__8_93L,L_23_12___14_47L,L_41_65___36_54L,L_27_7___22_96L,L14_24__16_38L
L0_47__0_71L,L0_03__0_04L,L_17_99___14_2L,L8_93__15_06L,L_31_76___23_12L,L_31_42___26_3L,L_22_96___18_22L,L9_96__12_1L
L0_0__0_24L,L0_0__0_01L,L_21_78___17_99L,L2_79__8_93L,L_23_12___14_47L,L_36_54___31_42L,L_22_96___18_22L,L7_82__9_96L
L0_47__0_71L,L0_0__0_01L,L_25_58___21_78L,L_3_34__2_79L,L_23_12___14_47L,L_41_65___36_54L,L_22_96___18_22L,L12_1__14_24L
L0_47__0_71L,L0_03__0_04L,L_21_78___17_99L,L_3_34__2_79L,L_23_12___14_47L,L_41_65___36_54L,L_22_96___18_22L,L12_1__14_24L
L0_24__0_47L,L0_0__0_01L,L_21_78___17_99L,L2_79__8_93L,L_14_47___5_83L,L_36_54___31_42L,L_22_96___18_22L,L12_1__14_24L
L0_47__0_71L,L0_0__0_01L,L_21_78___17_99L,L2_79__8_93L,L_5_83__2_81L,L_36_54___31_42L,L_22_96___18_22L,L12_1__14_24L
L0_71__0_94L,L0_0__0_01L,L_21_78___17_99L,L2_79__8_93L,L_14_47___5_83L,L_36_54___31_42L,L_22_96___18_22L,L12_1__14_24L
L0_24__0_47L,L0_0__0_01L,L_17_99___14_2L,L8_93__15_06L,L2_81__11_45L,L_26_3___21_19L,L_18_22___13_48L,L7_82__9_96L
L0_24__0_47L,L0_0__0_01L,L_17_99___14_2L,L2_79__8_93L,L_5_83__2_81L,L_31_42___26_3L,L_18_22___13_48L,L7_82__9_96L
