Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L2_55__7_65L,L0_0__0_1L,L_11_66___8_97L,L_0_28__1_68L,L2_27__10_44L,L_30_29___27_01L,L_21_08___17_42L,L9_49__10_93L
L2_55__7_65L,L0_0__0_1L,L_11_66___8_97L,L_0_28__1_68L,L2_27__10_44L,L_30_29___27_01L,L_24_74___21_08L,L9_49__10_93L
L2_55__7_65L,L0_0__0_1L,L_8_97___6_29L,L1_68__3_64L,L_14_09___5_91L,L_30_29___27_01L,L_21_08___17_42L,L9_49__10_93L
L2_55__7_65L,L0_0__0_1L,L_8_97___6_29L,L3_64__5_6L,L2_27__10_44L,L_23_74___20_46L,L_13_75___10_09L,L5_14__6_59L
L2_55__7_65L,L0_0__0_1L,L_11_66___8_97L,L_0_28__1_68L,L2_27__10_44L,L_27_01___23_74L,L_13_75___10_09L,L5_14__6_59L
L2_55__7_65L,L0_0__0_1L,L_8_97___6_29L,L_0_28__1_68L,L_5_91__2_27L,L_33_57___30_29L,L_28_41___24_74L,L9_49__10_93L
L2_55__7_65L,L0_0__0_1L,L_6_29___3_6L,L3_64__5_6L,L_5_91__2_27L,L_33_57___30_29L,L_28_41___24_74L,L9_49__10_93L
L2_55__7_65L,L0_0__0_1L,L_6_29___3_6L,L3_64__5_6L,L_5_91__2_27L,L_33_57___30_29L,L_28_41___24_74L,L9_49__10_93L
L7_65__12_76L,L0_0__0_1L,L_14_34___11_66L,L_0_28__1_68L,L2_27__10_44L,L_33_57___30_29L,L_28_41___24_74L,L10_93__12_38L
L2_55__7_65L,L0_0__0_1L,L_11_66___8_97L,L1_68__3_64L,L_5_91__2_27L,L_33_57___30_29L,L_28_41___24_74L,L10_93__12_38L
L7_65__12_76L,L0_0__0_1L,L_14_34___11_66L,L_0_28__1_68L,L_14_09___5_91L,L_27_01___23_74L,L_13_75___10_09L,L8_04__9_49L
L2_55__7_65L,L0_0__0_1L,L_14_34___11_66L,L_2_25___0_28L,L_5_91__2_27L,L_30_29___27_01L,L_17_42___13_75L,L5_14__6_59L
L7_65__12_76L,L0_0__0_1L,L_11_66___8_97L,L_0_28__1_68L,L_14_09___5_91L,L_33_57___30_29L,L_24_74___21_08L,L9_49__10_93L
L7_65__12_76L,L0_1__0_2L,L_14_34___11_66L,L_4_21___2_25L,L_30_44___22_26L,L_36_85___33_57L,L_28_41___24_74L,L10_93__12_38L
L7_65__12_76L,L0_0__0_1L,L_8_97___6_29L,L1_68__3_64L,L_14_09___5_91L,L_33_57___30_29L,L_24_74___21_08L,L10_93__12_38L
L12_76__17_87L,L0_1__0_2L,L_11_66___8_97L,L_0_28__1_68L,L_5_91__2_27L,L_33_57___30_29L,L_24_74___21_08L,L10_93__12_38L
L7_65__12_76L,L0_0__0_1L,L_11_66___8_97L,L3_64__5_6L,L_5_91__2_27L,L_33_57___30_29L,L_24_74___21_08L,L10_93__12_38L
L12_76__17_87L,L0_1__0_2L,L_11_66___8_97L,L1_68__3_64L,L2_27__10_44L,L_23_74___20_46L,L_13_75___10_09L,L8_04__9_49L
L7_65__12_76L,L0_0__0_1L,L_11_66___8_97L,L_0_28__1_68L,L2_27__10_44L,L_30_29___27_01L,L_17_42___13_75L,L5_14__6_59L
L12_76__17_87L,L0_1__0_2L,L_14_34___11_66L,L_0_28__1_68L,L_14_09___5_91L,L_33_57___30_29L,L_21_08___17_42L,L9_49__10_93L
L17_87__22_97L,L0_0__0_1L,L_17_02___14_34L,L_2_25___0_28L,L_14_09___5_91L,L_33_57___30_29L,L_21_08___17_42L,L9_49__10_93L
L12_76__17_87L,L0_1__0_2L,L_14_34___11_66L,L_2_25___0_28L,L_14_09___5_91L,L_33_57___30_29L,L_21_08___17_42L,L10_93__12_38L
L7_65__12_76L,L0_2__0_31L,L_17_02___14_34L,L_4_21___2_25L,L_5_91__2_27L,L_33_57___30_29L,L_21_08___17_42L,L10_93__12_38L
L12_76__17_87L,L0_2__0_31L,L_14_34___11_66L,L_0_28__1_68L,L_5_91__2_27L,L_33_57___30_29L,L_17_42___13_75L,L10_93__12_38L
L12_76__17_87L,L0_31__0_41L,L_14_34___11_66L,L_0_28__1_68L,L2_27__10_44L,L_30_29___27_01L,L_13_75___10_09L,L8_04__9_49L
L17_87__22_97L,L0_2__0_31L,L_17_02___14_34L,L_4_21___2_25L,L_30_44___22_26L,L_36_85___33_57L,L_17_42___13_75L,L8_04__9_49L
L12_76__17_87L,L0_2__0_31L,L_17_02___14_34L,L_4_21___2_25L,L_30_44___22_26L,L_36_85___33_57L,L_21_08___17_42L,L10_93__12_38L
L7_65__12_76L,L0_31__0_41L,L_17_02___14_34L,L_4_21___2_25L,L_22_26___14_09L,L_33_57___30_29L,L_21_08___17_42L,L10_93__12_38L
L22_97__28_08L,L0_41__0_51L,L_17_02___14_34L,L_2_25___0_28L,L_5_91__2_27L,L_33_57___30_29L,L_21_08___17_42L,L10_93__12_38L
L22_97__28_08L,L0_2__0_31L,L_17_02___14_34L,L_2_25___0_28L,L_5_91__2_27L,L_33_57___30_29L,L_21_08___17_42L,L10_93__12_38L
L12_76__17_87L,L0_1__0_2L,L_14_34___11_66L,L1_68__3_64L,L2_27__10_44L,L_33_57___30_29L,L_21_08___17_42L,L9_49__10_93L
