Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L23_0__28_04L,L0_16__0_45L,L_16_43___10_78L,L0_11__5_78L,L13_46__25_77L,L_32_24___25_8L,L_16_96___12_5L,L6_28__8_34L
L12_93__17_97L,L0_45__0_74L,L_16_43___10_78L,L0_11__5_78L,L13_46__25_77L,L_32_24___25_8L,L_16_96___12_5L,L6_28__8_34L
L12_93__17_97L,L0_16__0_45L,L_22_07___16_43L,L_5_57__0_11L,L_23_45___11_14L,L_38_68___32_24L,L_21_42___16_96L,L10_41__12_47L
L23_0__28_04L,L0_45__0_74L,L_22_07___16_43L,L_5_57__0_11L,L_23_45___11_14L,L_38_68___32_24L,L_21_42___16_96L,L10_41__12_47L
L12_93__17_97L,L0_16__0_45L,L_22_07___16_43L,L_5_57__0_11L,L_23_45___11_14L,L_38_68___32_24L,L_21_42___16_96L,L10_41__12_47L
L12_93__17_97L,L0_16__0_45L,L_22_07___16_43L,L_5_57__0_11L,L_11_14__1_16L,L_38_68___32_24L,L_25_88___21_42L,L12_47__14_54L
L12_93__17_97L,L0_45__0_74L,L_22_07___16_43L,L_5_57__0_11L,L_35_75___23_45L,L_38_68___32_24L,L_21_42___16_96L,L12_47__14_54L
L12_93__17_97L,L0_45__0_74L,L_22_07___16_43L,L_5_57__0_11L,L_23_45___11_14L,L_32_24___25_8L,L_16_96___12_5L,L8_34__10_41L
L7_9__12_93L,L0_45__0_74L,L_22_07___16_43L,L_11_25___5_57L,L_23_45___11_14L,L_45_12___38_68L,L_21_42___16_96L,L8_34__10_41L
L7_9__12_93L,L0_45__0_74L,L_27_71___22_07L,L_11_25___5_57L,L_23_45___11_14L,L_38_68___32_24L,L_25_88___21_42L,L12_47__14_54L
L12_93__17_97L,L0_74__1_03L,L_27_71___22_07L,L_11_25___5_57L,L_23_45___11_14L,L_38_68___32_24L,L_25_88___21_42L,L10_41__12_47L
L7_9__12_93L,L0_16__0_45L,L_22_07___16_43L,L_11_25___5_57L,L_23_45___11_14L,L_38_68___32_24L,L_25_88___21_42L,L10_41__12_47L
L12_93__17_97L,L0_45__0_74L,L_22_07___16_43L,L_11_25___5_57L,L1_16__13_46L,L_38_68___32_24L,L_25_88___21_42L,L10_41__12_47L
L7_9__12_93L,L0_16__0_45L,L_22_07___16_43L,L_5_57__0_11L,L_11_14__1_16L,L_38_68___32_24L,L_25_88___21_42L,L12_47__14_54L
L7_9__12_93L,L0_45__0_74L,L_16_43___10_78L,L_5_57__0_11L,L1_16__13_46L,L_32_24___25_8L,L_16_96___12_5L,L8_34__10_41L
L7_9__12_93L,L0_74__1_03L,L_22_07___16_43L,L_5_57__0_11L,L1_16__13_46L,L_38_68___32_24L,L_21_42___16_96L,L6_28__8_34L
L7_9__12_93L,L0_45__0_74L,L_39_0___33_36L,L_22_6___16_92L,L_35_75___23_45L,L_58_0___51_56L,L_34_8___30_34L,L14_54__16_6L
L7_9__12_93L,L0_45__0_74L,L_39_0___33_36L,L_22_6___16_92L,L_35_75___23_45L,L_58_0___51_56L,L_34_8___30_34L,L14_54__16_6L
L7_9__12_93L,L0_45__0_74L,L_39_0___33_36L,L_22_6___16_92L,L_35_75___23_45L,L_58_0___51_56L,L_34_8___30_34L,L14_54__16_6L
L2_86__7_9L,L0_16__0_45L,L_39_0___33_36L,L_22_6___16_92L,L_35_75___23_45L,L_58_0___51_56L,L_34_8___30_34L,L14_54__16_6L
L2_86__7_9L,L0_45__0_74L,L_33_36___27_71L,L_16_92___11_25L,L_35_75___23_45L,L_51_56___45_12L,L_30_34___25_88L,L12_47__14_54L
L7_9__12_93L,L0_45__0_74L,L_33_36___27_71L,L_16_92___11_25L,L_35_75___23_45L,L_51_56___45_12L,L_21_42___16_96L,L8_34__10_41L
L2_86__7_9L,L0_45__0_74L,L_39_0___33_36L,L_22_6___16_92L,L_35_75___23_45L,L_58_0___51_56L,L_25_88___21_42L,L8_34__10_41L
L2_86__7_9L,L0_16__0_45L,L_39_0___33_36L,L_22_6___16_92L,L_35_75___23_45L,L_58_0___51_56L,L_34_8___30_34L,L14_54__16_6L
L2_86__7_9L,L0_74__1_03L,L_33_36___27_71L,L_16_92___11_25L,L_35_75___23_45L,L_51_56___45_12L,L_30_34___25_88L,L12_47__14_54L
L2_86__7_9L,L0_74__1_03L,L_39_0___33_36L,L_22_6___16_92L,L_35_75___23_45L,L_58_0___51_56L,L_34_8___30_34L,L14_54__16_6L
L2_86__7_9L,L0_16__0_45L,L_39_0___33_36L,L_22_6___16_92L,L_23_45___11_14L,L_58_0___51_56L,L_34_8___30_34L,L14_54__16_6L
L2_86__7_9L,L0_45__0_74L,L_33_36___27_71L,L_16_92___11_25L,L_23_45___11_14L,L_51_56___45_12L,L_30_34___25_88L,L12_47__14_54L
L2_86__7_9L,L0_16__0_45L,L_27_71___22_07L,L_16_92___11_25L,L_11_14__1_16L,L_45_12___38_68L,L_16_96___12_5L,L6_28__8_34L
L2_86__7_9L,L1_32__1_61L,L_39_0___33_36L,L_22_6___16_92L,L_35_75___23_45L,L_58_0___51_56L,L_25_88___21_42L,L6_28__8_34L
L2_86__7_9L,L0_16__0_45L,L_39_0___33_36L,L_22_6___16_92L,L_35_75___23_45L,L_58_0___51_56L,L_34_8___30_34L,L14_54__16_6L
