Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L0_49__0_74L,L0_08__0_12L,L_12_32___9_78L,L1_27__4_2L,L12_57__22_67L,L_35_9___32_28L,L_33_92___24_5L,L8_09__9_93L
L0_24__0_49L,L0_12__0_16L,L_12_32___9_78L,L4_2__7_13L,L12_57__22_67L,L_32_28___28_65L,L_24_5___15_09L,L8_09__9_93L
L0_49__0_74L,L0_04__0_08L,L_14_87___12_32L,L1_27__4_2L,L22_67__32_76L,L_28_65___25_03L,L_15_09___5_67L,L4_41__6_25L
L0_49__0_74L,L0_0__0_04L,L_17_41___14_87L,L_7_51___4_58L,L22_67__32_76L,L_32_28___28_65L,L_24_5___15_09L,L4_41__6_25L
L0_74__0_99L,L0_04__0_08L,L_17_41___14_87L,L_7_51___4_58L,L12_57__22_67L,L_43_15___39_53L,L_52_76___43_34L,L11_76__13_6L
L0_24__0_49L,L0_08__0_12L,L_14_87___12_32L,L1_27__4_2L,L_17_7___7_61L,L_39_53___35_9L,L_33_92___24_5L,L9_93__11_76L
L0_74__0_99L,L0_0__0_04L,L_14_87___12_32L,L_1_65__1_27L,L_17_7___7_61L,L_39_53___35_9L,L_24_5___15_09L,L9_93__11_76L
L0_74__0_99L,L0_0__0_04L,L_17_41___14_87L,L_1_65__1_27L,L_7_61__2_48L,L_39_53___35_9L,L_24_5___15_09L,L9_93__11_76L
L0_49__0_74L,L0_0__0_04L,L_14_87___12_32L,L1_27__4_2L,L2_48__12_57L,L_35_9___32_28L,L_24_5___15_09L,L8_09__9_93L
L0_74__0_99L,L0_04__0_08L,L_14_87___12_32L,L1_27__4_2L,L22_67__32_76L,L_32_28___28_65L,L_15_09___5_67L,L4_41__6_25L
L0_74__0_99L,L0_0__0_04L,L_17_41___14_87L,L_1_65__1_27L,L22_67__32_76L,L_35_9___32_28L,L_15_09___5_67L,L4_41__6_25L
L0_74__0_99L,L0_04__0_08L,L_17_41___14_87L,L_1_65__1_27L,L2_48__12_57L,L_35_9___32_28L,L_15_09___5_67L,L8_09__9_93L
L0_99__1_24L,L0_16__0_2L,L_17_41___14_87L,L_1_65__1_27L,L_7_61__2_48L,L_35_9___32_28L,L_15_09___5_67L,L8_09__9_93L
L0_74__0_99L,L0_0__0_04L,L_14_87___12_32L,L_1_65__1_27L,L2_48__12_57L,L_32_28___28_65L,L_15_09___5_67L,L8_09__9_93L
L0_49__0_74L,L0_0__0_04L,L_17_41___14_87L,L_1_65__1_27L,L_7_61__2_48L,L_32_28___28_65L,L_15_09___5_67L,L8_09__9_93L
L0_24__0_49L,L0_0__0_04L,L_14_87___12_32L,L1_27__4_2L,L_7_61__2_48L,L_32_28___28_65L,L_15_09___5_67L,L6_25__8_09L
L0_24__0_49L,L0_0__0_04L,L_12_32___9_78L,L1_27__4_2L,L12_57__22_67L,L_32_28___28_65L,L_15_09___5_67L,L6_25__8_09L
L0_24__0_49L,L0_04__0_08L,L_17_41___14_87L,L_4_58___1_65L,L2_48__12_57L,L_35_9___32_28L,L_15_09___5_67L,L6_25__8_09L
L0_24__0_49L,L0_0__0_04L,L_14_87___12_32L,L1_27__4_2L,L2_48__12_57L,L_32_28___28_65L,L_15_09___5_67L,L6_25__8_09L
L1_24__1_49L,L0_0__0_04L,L_14_87___12_32L,L_1_65__1_27L,L_7_61__2_48L,L_32_28___28_65L,L_15_09___5_67L,L6_25__8_09L
L0_49__0_74L,L0_0__0_04L,L_14_87___12_32L,L1_27__4_2L,L2_48__12_57L,L_32_28___28_65L,L_15_09___5_67L,L6_25__8_09L
L0_49__0_74L,L0_0__0_04L,L_12_32___9_78L,L1_27__4_2L,L12_57__22_67L,L_32_28___28_65L,L_15_09___5_67L,L6_25__8_09L
L0_74__0_99L,L0_0__0_04L,L_12_32___9_78L,L4_2__7_13L,L12_57__22_67L,L_32_28___28_65L,L_24_5___15_09L,L8_09__9_93L
L0_49__0_74L,L0_0__0_04L,L_14_87___12_32L,L1_27__4_2L,L_17_7___7_61L,L_35_9___32_28L,L_15_09___5_67L,L6_25__8_09L
L0_24__0_49L,L0_0__0_04L,L_17_41___14_87L,L_4_58___1_65L,L_17_7___7_61L,L_35_9___32_28L,L_15_09___5_67L,L6_25__8_09L
L0_49__0_74L,L0_0__0_04L,L_17_41___14_87L,L_1_65__1_27L,L_17_7___7_61L,L_32_28___28_65L,L_15_09___5_67L,L8_09__9_93L
L0_49__0_74L,L0_08__0_12L,L_17_41___14_87L,L_1_65__1_27L,L_17_7___7_61L,L_32_28___28_65L,L_15_09___5_67L,L8_09__9_93L
L0_24__0_49L,L0_0__0_04L,L_9_78___7_24L,L1_27__4_2L,L_7_61__2_48L,L_32_28___28_65L,L_15_09___5_67L,L6_25__8_09L
L0_49__0_74L,L0_0__0_04L,L_9_78___7_24L,L1_27__4_2L,L_7_61__2_48L,L_32_28___28_65L,L_15_09___5_67L,L6_25__8_09L
L0_24__0_49L,L0_0__0_04L,L_7_24___4_69L,L4_2__7_13L,L2_48__12_57L,L_28_65___25_03L,L_15_09___5_67L,L4_41__6_25L
L0_24__0_49L,L0_0__0_04L,L_7_24___4_69L,L4_2__7_13L,L_7_61__2_48L,L_28_65___25_03L,L_15_09___5_67L,L4_41__6_25L
